"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"controls/on";"On";"Activé";"On";"An";"Encendido";"Вкл.";"Włączone";"Zap";"Açık";"开";"オン";"Ligado";"On";"Увімкн.";"Uključeno";"Be";"켜기";"Укл.";"ACTIVATĂ";"開";"开";;
"controls/dmg";"Dmg";"Dgt";"Dng";"Dmg";"Dmg";"ДМГ";"Uszk.";"Dmg";"Dmg";"受\t损";"ダメージ";"Dmg";"Dmg";"ДМГ";"Dmg";"Seb";"DMG";"Dmg";"Dmg";"受\t損";"DMG";;
"controls/off";"Off";"Arrêt";"Off";"Aus";"Apagado";"Выкл.";"Wyłączone";"Vyp";"Kapalı";"关\t闭";"オフ";"Desligado";"Off";"Вимкн.";"Isključeno";"Ki";"끄기";"Выкл.";"OPRITĂ";"關";"关";;
"controls/AUTO";"Auto";"Auto";"Automatico";"Auto";"Automatico";"Авто";"Automatycznie";"Automaticky";"Otomatik";"自\t动";"自動";"Automático";"Auto";"Авто";"Automatski";"Automatikus";"자동";"Аўтаматычна";"Auto";"自\t動";"自\t动";;
"controls/NA";"Not Available";"Non Disponible";"Non disponibile";"Nicht verfügbar";"No disponible";"Недоступно";"Niedostępne";"Není k dispozici";"Mevcut Değil";"不\t可\t用";"利用不可";"Não disponível";"Not Available";"Не доступно";"Nedostupno";"Nem elérhető";"사용 불가";"Недаступна";"Indisponibil";"不\t可\t使\t用";"不\t可\t用";;
"controls/broken";"Broken";"Endommagé";"Rotto";"Defekt";"Roto";"Сломан";"Uszkodzenie";"Rozbité";"Bozuk";"损\t坏";"故障";"Quebrado";"Broken";"Пошкодження";"Pokvaren";"Broken";"고장";"Зламаны";"Rupt";"破\t碎";"破\t碎";;
"mainmenu/btnControlsWizard";"Control Setup Wizard";"Assistant de configuration des commandes";"Configurazione Guidata";"Steuerung einrichten (Assistent)";"Asistente de configuración de controles";"Мастер настройки управления";"Kreator Konfiguracji Sterowania";"Průvodce nastavením ovládání";"Kontrol Kurulum Sihirbazı";"控\t制\t设\t置\t向\t导";"コントロールセットアップウィザード";"Assistente de configuração de controles";"Control Setup Wizard";"Майстер налаштування керування";"Asistent podešavanja kontrola";"Irányításbeállítás varázsló";"조작 설정 마법사";"Майстар наладкі кіравання";"Asistent setare comenzi";"控\t制\t設\t置\t導\t引";"控\t制\t设\t置\t向\t导";;
"mainmenu/btnControlsDefault";"Reset to Defaults";"Réinitialiser aux valeurs par défaut";"Reimposta valori predefiniti";"Auf Standardwerte zurücksetzen";"Restablecer valores predeterminados";"Установить раскладку ""По умолчанию""";"Przywróć domyślne";"Resetovat na výchozí";"Varsayılanlara Sıfırla";"重\t置\t为\t默\t认\t值";"既定値に\t戻す";"Redefinir para o padrão";"Reset to Defaults";"Відновити налаштування за замовчуванням";"Poništi sve postavke";"Visszaállítás alapértelmezettre";"기본 설정으로 돌아가기";"Вярнуць перадвызначаныя налады";"Resetare la implicite";"重\t設\t為\t預\t設\t值";"重\t设\t为\t预\t设\t值";;
"controls/turret_throttle";"Throttle controls (gunner)";"Contrôle gaz (canonnier)";"Comandi del gas (artigliere)";"Schubsteuerung (Schütze)";"Controles de potencia (artillero)";"Управление газом (стрелок)";"Ustawienia przepustnicy (strzelec)";"Ovládání plynu (střelec)";"Gaz kontrolleri (silahçı)";"节\t流\t阀\t控\t制\t（\t机\t枪\t手\t）";"スロットル\t操作 (射手)";"Controles de Aceleração (Artilheiro)";"Throttle controls (gunner)";"Керування газом (стрілець)";"Kontrole gasa (mitraljezac)";"Gázkarvezérlés (lövész nézet)";"스로틀 조작 (후방사수 시점)";"Кіраванне газам (стралок)";"Control accelerație (trăgător)";"油\t門\t控\t制\t(機\t槍\t手)";"节\t流\t阀\t控\t制\t（\t机\t枪\t手\t）";;
"controls/turret_x";"Gunner aiming control (X-axis)";"Contrôle visée mitrailleur en tourelle (axe X)";"Controllo puntamento artigliere (asse X)";"Zielen mit Bordschütze (X-Achse)";"Control de puntería de artillero (eje X)";"Управление прицелом (ось X)";"Sterowanie celowaniem strzelca (oś X)";"Ovládání míření střelce (osa X)";"Silahçı Nişan Kontrolleri (X-ekseni)";"机\t枪\t手\t瞄\t准\t控\t制\t（\tX \t轴\t）";"銃砲照準（X\t軸）";"Controlo da mira do Atirador (eixo X)";"Gunner aiming control (X-axis)";"Керування прицілом (вісь X)";"Kontrola nišanjena mitraljesca (X osa)";"Lövész célzás (X tengely)";"사수 조준 (X 축)";"Кіраванне прыцэлам стралка (вось Х)";"Control țintire tunar (axa X)";"機\t槍\t手\t瞄\t準\t控\t制\t(X\t軸)";"机\t枪\t手\t瞄\t准\t控\t制\t（\tX \t轴\t）";;
