"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"multiplayer/noSessionsFound";"No games available. Please try again later.";"Aucune partie disponible. Veuillez réessayer plus tard.";"Nessuna partita disponibile. Riprova più tardi.";"Keine Spielsitzungen verfügbar. Probiere es später erneut.";"No hay juegos disponibles. Inténtalo más tarde.";"Игры не найдены. Повторите попытку позже.";"Brak dostępnych gier. Spróbuj ponownie później.";"K dispozici nejsou žádné hry, zkus to později";"Uygun oyun yok. Lütfen daha sonra tekrar dene.";"没\t有\t可\t用\t游\t戏。\t请\t稍\t后\t重\t试。";"参加できる\tゲームが\t見つかりません";"Não há jogos disponíveis. Por favor, tente novamente mais tarde.";"Ігри не знайдені. Спробуйте ще раз пізніше.";"Nema dostupnih mečeva. Pokušajte kasnije.";"Nincs elérhető játék. Kérlek, próbálkozz később.";"참여할 수 있는 방이 없습니다. 나중에 다시 시도해 주십시오.";"Гульні не знойдзены. Паспрабуйце яшчэ раз пазней.";"Nu sunt partide disponibile. Încearcă mai târziu.";"沒\t有\t可\t用\t遊\t戲。\t請\t稍\t後\t重\t試。";"没\t有\t可\t用\t游\t戏。\t请\t稍\t后\t重\t试。";;
"multiplayer/noSessionsFoundCoop";"No games available. Search among the other cooperative modes?";"Aucune partie disponible. Chercher parmi les autres modes coopératifs ?";"Nessuna partita disponibile. Vuoi ricercarle nelle altre modalità cooperative?";"Keine Spielsitzungen verfügbar. Möchtest du unter den anderen kooperativen Spielmodi suchen?";"No hay partidas disponibles. ¿Intentar buscar entre los otros modos cooperativos?";"Игры не найдены. Желаете поискать среди других кооперативных режимов?";"Brak dostępnych gier. Czy wyszukać spośród innych trybów współpracy?";"K dispozici nejsou žádné hry, chceš zkusit hledat v ostatních kooperativních módech?";"Uygun oyun yok. Diğer ortak oyun modları arasında arama yap?";"没\t有\t可\t用\t游\t戏。\t要\t搜\t索\t其\t他\t合\t作\t模\t式\t吗？";"利用可能な\tゲームがありません。\tほかの\tCO-OP\tモードを\t検索してみますか？";"Não há jogos disponíveis. Tente procurar entre outros modos cooperativos?";"Ігри не знайдені. Бажаєте здійснти пошук серед інших кооперативних режимів?";"Nema dostupnih mečeva. Probajte sa drugim kooperativnim modovima?";"Nincs elérhető játék. Megpróbálsz keresni egyet a többi kooperatív játékmód közül?";"참여할 수 있는 방이 없습니다. 다른 협동 모드를 찾아보시겠습니까?";"Гульні не знойдзены. Жадаеце пашукаць сярод іншых кааператыўных рэжымаў?";"Nu sunt partide disponibile. Cauți printre celelalte moduri cooperative?";"沒\t有\t可\t用\t遊\t戲。\t要\t搜\t索\t其\t他\t合\t作\t模\t式\t嗎？";"没\t有\t可\t用\t游\t戏。\t要\t搜\t索\t其\t他\t合\t作\t模\t式\t吗？";;
"multiplayer/noSessionsFoundCreate";"No games available. Would you like to create one?";"Aucune partie disponible. Voulez-vous en créer une ?";"Nessuna partita disponibile. Vuoi crearne una?";"Keine Spielsitzungen verfügbar. Möchtest du jetzt ein Spiel erstellen?";"No hay juegos disponibles. ¿Quieres crear uno?";"Игры не найдены. Желаете создать игру?";"Brak dostępnych gier. Utworzyć nową?";"K dispozici nejsou žádné hry, chceš hru vytvořit?";"Mevcut oyun yok. Oluşturmak ister misin?";"没\t有\t可\t用\t游\t戏。\t要\t自\t行\t创\t建\t吗？";"参加できる\tゲームが\t見つかりません。\t新しい\tゲームを\t作成しますか？";"Não há jogos disponíveis. Gostaria de criar um?";"Ігри не знайдені. Бажаєте створити гру?";"Nema dostupnih mečeva. Da li želite da napravite jedan?";"Nincs elérhető játék. Szeretnél létrehozni egyet?";"참여할 수 있는 방이 없습니다. 방을 새로 만드시겠습니까?";"Гульні не знойдзены. Ці стварыць новую гульню?";"Nu sunt partide disponibile. Vrei să creezi una?";"沒\t有\t可\t用\t遊\t戲。\t要\t自\t行\t創\t建\t嗎？";"没\t有\t可\t用\t游\t戏。\t要\t自\t行\t创\t建\t吗？";;
"multiplayer/onJoinError";"Join error. Please try again later.";"Erreur pour rejoindre. Veuillez réessayer plus tard.";"Errore partecipazione. Riprova più tardi.";"Fehler beim Beitreten. Bitte versuche es später erneut.";"Error al unirse. Inténtalo más tarde";"Ошибка подключения. Повторите попытку позже.";"Błąd podczas dołączania. Spróbuj ponownie później.";"Chyba připojení, zkus to později";"Giriş hatası. Lütfen daha sonra tekrar dene.";"加\t入\t失\t败。\t请\t稍\t候\t再\t试。";"ゲームに\t参加できませんでした。\tしばらくしてから\t再試行してください";"Erro ao entrar. Por favor tente novamente mais tarde.";"Помилка підключення. Спробуйте ще раз пізніше.";"Greška sa ulaženjem. Probajte opet kasnije.";"Csatlakozási hiba. Kérlek, próbálkozz később.";"입장 오류. 잠시 후 다시 시도해 주십시오.";"Не ўдалося далучыцца. Паспрабуйце яшчэ раз пазней.";"Eroare la intrarea în joc. Încearcă mai târziu.";"加\t入\t失\t敗。\t請\t稍\t候\t再\t試。";"加\t入\t失\t败。\t请\t稍\t候\t再\t试。";;
"multiplayer/playerGame";"Player Match";"Partie du joueur";"Partita giocatore";"Eigenes Spiel";"Partida de Jugador";"Свободная игра";"Rozgrywka towarzyska";"Klasická hra";"Oyuncu Eşleşmesi";"玩\t家\t配\t对";"プレイヤーマッチ";"Partida de jogador";"Вільна гра";"Meč igrača";"Játékos csata";"유저 매치";"Таварыская гульня";"Partidă jucători";"玩\t家\t配\t對";"玩\t家\t配\t对";;
"multiplayer/rankedGame";"Ranked Match";"Partie classée";"Partita classificata";"Ranglistenspiel";"Partida Igualada";"Игра на рейтинг";"Rozgrywka rankingowa";"Hodnocená hra";"Sıralamalı Maç";"等\t级\t配\t对";"ランク マッチ";"Classificação da Batalha";"Рейтингова гра";"Rangirani Meč";"Rangsorolt csata";"랭크 매치";"Гульня на рэйтынг";"Partidă cotată";"等\t級\t配\t對";"等\t级\t配\t对";;
"multiplayer/Arcade";"Arcade Battles";"Simplifié";"Semplificato";"Arcade-Schlachten";"Batallas arcade";"Аркадные бои";"Bitwy Zręcznościowe";"Zjednodušené bitvy";"Basitleştirilmiş Savaşlar";"街\t机\t模\t式";"アーケードバトル";"Batalhas Arcade";"Аркадні бої";"Arkadne Borbe";"[AB] Árkád csaták";"아케이드 전투";"Аркадныя баі";"Lupte arcade";"街\t機\t模\t式";"标\t准\t模\t式\t-\t街\t机";;
"multiplayer/Realistic";"Realistic Battles";"Batailles Réalistes";"Battaglie Realistiche";"Realistische Schlachten";"Batallas Realistas";"Реалистичные бои";"Bitwy Realistyczne";"Realistické bitvy";"Gerçekçi Savaşlar";"历\t史\t模\t式";"リアリスティックバトル";"Batalhas Realistas";"Реалістичні бої";"Realne bitke";"[RB] Realisztikus csaták";"리얼리스틱 전투";"Рэалістычныя баі";"Lupte realiste";"歷\t史\t模\t式";"历\t史\t模\t式";;
"multiplayer/Simulator";"Simulator Battles";"Batailles en mode simulateur";"Simulatore";"Simulator-Schlachten";"Batallas Simulador";"Симуляторные бои";"Bitwy Symulacyjne";"Simulátorové bitvy";"Simulatör Savaşları";"全\t真\t模\t式";"シミュレーターバトル";"Batalhas de Simulação";"Симуляторні бої";"Simulatorske Borbe";"[SB] Szimulátor csaták";"시뮬레이터 전투";"Сімуляцыйныя баі";"Lupte simulator";"全\t真\t模\t式";"全\t真\t模\t式";;
"multiplayer/playerList";"Player List";"Liste du joueur";"Elenco giocatore";"Spielerliste";"Lista de Jugadores";"Список игроков";"Lista graczy";"Seznam hráčů";"Oyuncu Listesi";"玩\t家\t列\t表";"プレイヤーリスト";"Lista de jogadores";"Список гравців";"Lista Igrača";"Játékosok";"참가자 목록";"Спіс гульцоў";"Listă jucători";"玩\t家\t列\t表";"玩\t家\t列\t表";;
