"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"wake_mis2_debriefing_part1";"""After we ceased firing, the whole fleet having fled and there being no other targets to engage,";"Après que nous ayons cessé de faire feu, que toute la flotte ait pris la fuite, et qu’il n’y ait plus de cibles à combattre,";"'Dopo il cessate il fuoco, essendo fuggita la flotta e non essendoci altri obiettivi da attaccare,";"""Nachdem wir das Feuer eingestellt hatten, die gesamte Flotte geflohen war und keine Ziele mehr übrig blieben,";"""Después del cese de fuego, una vez que toda la flota se escapó y no había más objetivos a localizar…";"""Обратив в бегство целый флот и не имея больше целей в радиусе досягаемости наших орудий, мы прекратили огонь,";"„Po zaprzestaniu ostrzału, cała flota uciekła, więc nie mieliśmy żadnych celów do ataku.";"""Poté co jsme zastavili palbu, celá flotila uprchla a nezbyly žádné cíle pro útok,""";"""Biz ateşi kestikten sonra, bütün filo kaçmış ve nişan alacak başka hedef kalmamış halde,";"“\t我\t们\t停\t火\t以\t后\t，\t整\t个\t舰\t队\t都\t四\t散\t而\t去\t，\t再\t也\t找\t不\t到\t任\t何\t可\t攻\t击\t的\t目\t标\t了\t。";"砲撃をやめると、\t敵艦隊はすでに\t退却しており、\t標的は\t確認できず";"""Depois que pararmos de disparar, a frota inteira fugiu e já não havia mais alvos para atacar,";"""After we ceased firing, the whole fleet having fled and there being no other targets to engage,";"""Спонукавши до втечі цілий флот і не маючи більше цілей в радіусі досяжності наших знарядь, ми припинили вогонь";"""Nakon što smo prestali sa paljbom, cela flota je pobegla i više nije bilo drugih ciljeva za napad";"„Miután megszüntettük a tüzelést, az egész flotta elmenekült, és nem maradt több célpontunk,";"""우리가 사격을 중지했을 때, 모든 함대가 달아났거나 더 이상 교전할 목표가 존재하지 않았다.";"«Прымусіўшы цэлы флот адступаць і не маючы больш цэляў у радыусе паражэння нашых гармат, мы прыпынілі агонь,";"„După ce am încetat focul, întreaga flota a fugit și nu mai erau alte ținte de atacat,";"“我們停火以後，整個艦隊都四散而去，再也找不到任何可攻擊的目標了。";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis2_debriefing_part2";"the cruiser lay broadside to the sea still pouring steam and smoke from her side.";"le croiseur était chaviré sur la mer de la vapeur et de la fumée sortant encore de son flanc.";"l'incrociatore è rimasto in posizione laterale rispetto al mare e dalla sua fiancata continuava ad uscire vapore e fumo.";"lag der Kreuzer längs zum Meer und stieß noch immer Dampf und Rauch aus der Seite aus.";"el crucero yacía de costado en el mar, todavía desprendiendo humo y vapor desde el lateral.";"крейсер развернулся и взял курс в открытое море, все еще чадя дымом и паром.";"Krążownik leżał przechylony na burtę, obłoki pary i dymu nadal wydobywały się z jego boku.";"křižník, převrácený na bok, se pozvolna potápěl. Z jeho boku stále ještě stoupala pára a kouř.";"kuruvazör yanından buhar ve duman akıtar halde bordası üstüne denize yatmıştı.";"巡\t洋\t舰\t侧\t倾\t没\t入\t水\t中\t，\t大\t量\t的\t蒸\t汽\t和\t黑\t烟\t从\t侧\t舷\t嘶\t嘶\t喷\t出\t。";"被弾した\t巡洋艦は\t傾き、\t舷側から\t蒸気と\t煙が\t上がっていました";"O cruzador estava em direção ao mar ainda despejando vapor e fumaça de seu lado.";"the cruiser lay broadside to the sea still pouring steam and smoke from her side.";"крейсер розгорнувся і узяв курс у відкрите море, все ще чадячи димом і парою.";"krstarica je ležala na boku i dalje ispuštajući paru i dim sa njene strane.";"a cirkáló az oldalára dőlt a vízen, miközben gőz és füst tört elő belőle.";"순양함은 바다로 기울어져 여전히 수증기와 연기를 내뿜고 있었다.";"крэйсер развярнуўся і накіраваўся ў адкрытае мора.";"crucișătorul stătea răsturnat pe mare încă scoțând aburi și fum.";"巡洋艦側傾沒入水中，大量的蒸汽和黑煙從側舷嘶嘶噴出。";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis2_debriefing_part3";"She had a definite port list. After some time she got slowly under way, going a short distance, stopping, and continuing again;";"Il était condamné. Après quelque temps, il s’est lentement remis en route, parcourant un peu de chemin, s'arrêtant, et repartant encore ;";"Aveva una forte inclinazione a babordo. Dopo un po' ha iniziato a muoversi lentamente, ha percorso un breve tratto, si è fermato e poi ha ripreso la marcia;";"Er hatte deutlich Schlagseite. Nach einiger Zeit konnte er langsam Fahrt aufnehmen, bewegte sich ein kurzes Stück, hielt an und setzte die Fahrt wieder fort.";"Tenía una inclinación a babor muy definida. Después de un tiempo zarpó lentamente, avanzando una corta distancia, luego deteniéndose y continuando nuevamente;";"Ему, однозначно, нужно было в ремонтный док. Некоторое время корабль шел, словно спотыкаясь - проходил немного, останавливался, снова немного продвигался вперёд;";"Przechylał się wyraźne na lewą burtę. Po pewnym czasie ruszył powoli, przepływając krótkie dystanse, zatrzymując się i ponownie ruszając;";"Měla celý seznam potřebných oprav. Po nějaké době se začala pomalu pohybovat, urazila krátkou vzdálenost, zastavila, a znovu pokračovala;";"Onun belirli bir liman listesi vardı. Bir süre sonra yavaşça yola koyuldu, kısa bir süre gidiyor, duruyor ve tekrar devam ediyordu;";"她\t的\t左\t舷\t已\t严\t重\t倾\t斜\t。\t过\t了\t一\t会\t儿\t，\t她\t缓\t缓\t地\t动\t了\t起\t来\t，\t但\t只\t行\t进\t了\t一\t小\t段\t便\t又\t停\t下\t，\t随\t后\t又\t再\t次\t继\t续\t前\t进\t。";"艦体は\t明らかに\t左舷に\t傾斜し、\tしばらくするとゆっくり\t動き\t始め、\t僅かな\t距離を\t進んでは\t止まるという\t機動を\t反復";"Ela tinha uma lista definitiva de portos. Depois de algum tempo que ela começou lentamente, indo a uma curta distância, parando e continuando novamente;";"She had a definite port list. After some time she got slowly under way, going a short distance, stopping, and continuing again;";"Йому, однозначно, треба було в ремонтний док. Деякий час корабель йшов, немов спотикаючись - проходив трохи, зупинявся, знову трохи просувався вперед;";"Imala je definitivnu listu luke. Posle nekog vremena je polako krenula, prešla kratku distancu, zaustavila se, i nastavila sa kretanjem ponovo;";"Volt egy listája az elérhető kikötőkről. Kis idő elteltével lelassult, és volt, hogy meg is állt, de mégis folytatta az útját;";"순양함은 확실하게 좌현으로 기울었다. 느려진 채로 잠시 짧은 거리를 간 뒤, 멈추고, 다시 전진해갔다.";"Несумненна, яму трэба было ў рамонтны док. Нейкі час карабель ішоў нібы спатыкаючыся — праходзіў трохі, спыняўся, потым ізноў трохі ішоў наперад;";"Avea în mod clar nevoie de un doc de reparații. După un timp, a început încet să se deplaseze, pe o scurtă distanță, se oprea și apoi continua din nou;";"她的左舷已嚴重傾斜。過了一會兒，她緩緩地動了起來，但只行進了一小段便又停下，隨後又再次繼續前進。";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis2_debriefing_part4";"she was engulfed in smoke when she crept over the horizon.""";"il était enveloppé de fumées quand il est apparu à l’horizon.'";"era avvolto dal fumo quando si avvicinava all'orizzonte.""";"Er war in Rauch eingehüllt, als er am Horizont verschwand.''";"cuando se acercaba al horizonte ya estaba totalmente envuelto por el humo”. ";"он был полностью окутан дымом, когда переваливал за горизонт.""";"był osłonięty gęstym dymem, gdy skradał się pod horyzont.”";"Byla pohlcena kouřem, když se plížila přes obzor.""";"ufkun ötesinde sürünürken duman içinde koybolmuştu.""";"她\t的\t身\t影\t逐\t渐\t在\t海\t平\t线\t上\t远\t去\t，\t舰\t体\t已\t然\t为\t浓\t烟\t所\t吞\t噬\t。\t”";"その\t後、\t煙に\t包まれながら\t水平線に\t消えました";"Ela foi engolida pela fumaça quando ela penetrou no horizonte.""";"she was engulfed in smoke when she crept over the horizon.""";"він був повністю оповитий димом, коли перевалював за горизонт"".";"bila je obavijena dimom kada je otpuzala iza horizonta.""";"elnyelte a füst ahogy elérte a horizontot.”";"수평선을 천천히 지나갈 때는 연막에 에워싸였다.""";"ён быў цалкам абгорнуты дымам, калі знікаў за гарызонтам.»";"a fost înghițit de fum, când a dispărut la orizont.”";"她的身影逐漸在海平線上遠去，艦體已然為濃煙所吞噬。”";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis3_debriefing_part1";"""Our escape from serious damage may be attributed to the effectiveness of AA fire and the heroic actions of fighter pilots,";"Nous avons échappé à de graves dégâts grâce à l’efficacité des tirs AA et grâce aux actions héroïques des pilotes de chasse";"'L'essere scampati a danni maggiori può essere attribuito all'efficienza dell'artiglieria dell'AA e alle azioni eroiche dei nostri piloti da caccia,";"""Dass wir keine größeren Schäden hatten, ist der Wirksamkeit unserer Flak-Geschütze und der Heldentaten der Jagdpiloten zuzuschreiben,";"""Nuestra salvación de daños mayores puede atribuirse a la efectividad de la artillería AA y a los actos heroicos que realizaron los pilotos de los aviones de combate,";"""Мы избежали серьёзных повреждений лишь благодаря эффективности зенитного огня и героизму пилотов-истребителей,";"„Uniknięcie przez nas poważnych strat należy przypisać skuteczności ognia przeciwlotniczego oraz heroicznych działań pilotów,";"""Náš únik před vážnějším poškozením může být přisouzen efektivitě protiletadlové palby a heroickým činům stíhacích pilotů,";"Ciddi yıkımdan kurtuluşumuz uçak savar ateşinin etkinliğine ve ağır ateş altındayken bile yurdumuza yapılan saldırıları geri püskürtmekte asla başarısız olmayan";"“\t正\t是\t由\t于\t高\t效\t的\t防\t空\t炮\t与\t战\t斗\t机\t飞\t行\t员\t们\t的\t英\t勇\t表\t现\t，\t我\t们\t才\t得\t以\t从\t巨\t大\t的\t损\t失\t中\t走\t出\t来";"深刻な\t損害を\t免れたのは、\t効果的な\t対空砲火と\t勇敢な\t戦闘機\tパイロットのおかげでしょう";"''A nossa fuga de danos sérios pode ser atribuída à eficácia do fogo das AA e às ações heróicas dos pilotos dos caças,";"""Our escape from serious damage may be attributed to the effectiveness of AA fire and the heroic actions of fighter pilots,";"""Ми уникнули серйозних ушкоджень лише завдяки ефективності зенітного вогню і героїзму пілотів-винищувачів";"""Izbegavanje ozbiljnijih oštećenja može se pripisati delotvornosti PVO vatre i herojskim akcijama lovačkih pilota,";"„A súlyos sérüléstől való megmenekülésünk, a légvédelem hatékonyságának és a hősies vadászpilótáinknak köszönhető,";"""심각한 손상을 입었음에도 우리가 탈출할 수 있었던 이유는 효율적인 대공포 사격과 집중 포화에도 불구하고 실패하지 않은 영웅적인 전투기 조종사들 덕분이다.";"«Мы пазбеглі сур'ёзных пашкоджанняў толькі дзякуючы эфектыўнасці зенітнага агню і гераізму пілотаў-знішчальнікаў,";"„Scăparea noastră de la daune grave poate fi atribuită eficacității tirului antiaerian și acțiunilor eroice ale piloților de vânătoare,";"“正是由於高效的防空炮與戰鬥機飛行員們的英勇表現，我們才得以從巨大的損失中走出來";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis3_debriefing_part2";"who had never failed to push home attacks against heavy fire. The performance of these pilots is deserving of all praise.";"qui n'ont jamais échoué dans le combat contre les attaques d'artillerie lourde. La performance de ces pilotes mérite des éloges.";"che non hanno mai smesso di attaccare il fuoco pesante. L'impresa di questi piloti merita tutti gli onori.";"die nie aufhörten anzugreifen, trotz der starken Feuerkraft des Feindes. Was diese Piloten leisteten verdient große Anerkennung.";"quienes nunca dejaron de atacar contra el fuego incesante. La actuación de estos pilotos merece todos los elogios.";"которые не упустили ни одного шанса ответить на яростный обстрел со стороны противника. Действия этих летчиков достойны самой высокой оценки.";"którzy nigdy nie zaprzestali ataków pomimo ciężkiego ostrzału. Dokonania tych pilotów zasługują na wszelkie pochwały.";"kdo nikdy neselhal při provádění útoku proti těžké palbě. Výkon těchto pilotů si zaslouží uznání nás všech.";"savaş pilotlarının kahramanca çarpışmalarına atfedilebilir. Bu pilotların performansı her türlü övgüyü hak etmektedir.";"这\t些\t飞\t行\t员\t顶\t着\t敌\t人\t猛\t烈\t的\t炮\t火\t却\t没\t有\t丝\t毫\t退\t缩\t，\t其\t大\t无\t畏\t的\t精\t神\t实\t在\t令\t人\t敬\t佩\t赞\t赏\t！";"激しい\t砲火の\t中、\t彼らは\t果敢に\t応戦しました　\tその\t戦いぶりは\t賞賛に\t値します";"aqueles que nunca falharam em realizar ataques contra fogo pesado. A performance destes pilotos merece todos os aplausos.";"who had never failed to push home attacks against heavy fire. The performance of these pilots is deserving of all praise.";"які не упустили жодного шансу відповісти на лютий обстріл з боку противника. Дії цих льотчиків гідні найвищої оцінки.";"koji su uvek uspeli da izvedu napade uprkos teškoj paljbi. Učinak ovih pilota zaslužuje sve pohvale.";"akik még soha nem menekültek el egy erős ellenfél elől. Minden tiszteletem ezeknek a pilótáknak.";"그들의 활약은 찬양받아 마땅하다.";"якія не ўпусцілі ніводнага шанцу адказаць на люты абстрэл з боку супраціўніка. Дзеянні гэтых лётчыкаў дастойны найвышэйшай адзнакі.";"care nu au eșuat niciodată să respingă atacurile împotriva tirului intens. Performanța acestor piloți merită toată lauda.";"這些飛行員頂著敵人猛烈的炮火卻沒有絲毫退縮，其大無畏的精神實在令人敬佩讚賞！";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis3_debriefing_part3";"They have attacked air and surface targets alike with equal abandon. That none has been shot down is a miracle.";"Ils ont attaqué à corps perdu aussi bien les cibles aériennes que celles au sol. Qu’aucun n’ait été abattu résulte du miracle.";"Hanno attaccato obiettivi aerei e terrestri con la stessa abnegazione. È un miracolo che non sia stato abbattuto nessuno.";"Sie griffen Luft- und Bodenziele mit gleicher Entschlossenheit an. Dass niemand abgeschossen wurde ist ein Wunder.";"Han atacado a objetivos aéreos y terrestres con la misma entrega. Es un milagro que ninguno de ellos haya sido derribado.";"Они атаковали воздушные и наземные цели с выдающимся упорством. Это просто чудо, что никого из них не сбили.";"Atakowali cele powietrzne jak i naziemne z równą pasją. To, że nikt nie został zestrzelony, to istny cud.";"Zaútočili na vzdušné i pozemní cíle a ve stejném počtu opustili prostor. Je zázrak, že nikdo z nich nebyl sestřelen.";"Ayrımı yapmaksızın hava ve yer hedeflerine saldırdılar. Kimsenin düşürülmemiş olması bir mucize.";"他\t们\t无\t所\t顾\t忌\t地\t攻\t击\t着\t那\t些\t空\t中\t和\t地\t面\t目\t标\t，\t却\t居\t然\t能\t毫\t发\t无\t伤\t，\t这\t简\t直\t是\t个\t奇\t迹\t。";"彼らはあらゆる\t標的を\t自在に\t攻め\t立てました　\tその\t中の\t被撃墜\tゼロは\t奇跡であります";"Eles atacaram alvos aéreos e terrestres com a mesma determinação. É um milagre que ninguém tenha sido abatido.";"They have attacked air and surface targets alike with equal abandon. That none has been shot down is a miracle.";"Вони атакували повітряні і наземні цілі з видатною завзятістю. Це просто диво, що нікого з них не збили.";"Napadali su vazdušne i kopnene ciljeve sa jednakom predanošću. To što niko nije oboren pravo je čudo.";"Egyszerre támadtak földi és légi célpontokat. Az, hogy senkit sem lőttek le, maga a csoda.";"그들은 공중과 지상의 표적들을 비슷한 비중으로 공격했다. 아무도 격추되지 않은 것은 기적이다.";"Яны атакавалі паветраныя і наземныя цэлі з неверагоднай упартасцю. Нейкім цудам, нікога з іх не збілі.";"Ei au atacat atât țintele aeriene cât și terestre cu aceeași dedicare. Este un miracol că nimeni nu a fost doborât.";"他們無所顧忌地攻擊著那些空中和地面目標，卻居然能毫髮無傷，這簡直是個奇跡。";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis3_debriefing_part4";"Their planes (two now remain) are full of bullet holes. Two forced landings, fortunately without injury to pilots, have occurred with loss of planes.""";"Leurs avions (il n'en reste plus que deux) sont pleins d'impacts de balles. Des avions ont été perdus au cours de deux atterrissages forcés, dont les pilotes sont fort heureusement sortis indemnes.'";"I loro aerei (ora ne sono rimasti due) sono dei colabrodo. Sono avvenuti due atterraggi d'emergenza e abbiamo perso gli aerei, ma fortunatamente senza danni ai piloti.""";"Ihre Maschinen (zwei sind noch übrig) sind voller Einschusslöcher. Zwei Notlandungen, glücklicherweise ohne Verletzungen der Piloten, haben zum Verlust der Flugzeuge geführt.''";"Sus aviones (ahora quedan dos) están repletos de orificios de bala. Se realizaron dos aterrizajes forzosos con perdida de los aviones, afortunadamente sin daños graves para los pilotos''.";"Фюзеляжи их машин (2 из них сохранились до сегодняшнего дня) похожи на решето. Было совершено две вынужденных посадки с потерей самолётов, но, к счастью, летчики не пострадали.";"Ich samoloty (pozostały tylko dwa) są pełne dziur po pociskach. Dwa przymusowe lądowania, na szczęście bez obrażeń dla pilotów, spowodowały utratę samolotów.”";"Jejich letadla (nyní dvě zbývající) jsou prostřílená. Dvě nouzová přistání, naštěstí bez zranění pilotů, znamenala ztrátu letadel.""";"Uçakları (iki tane kaldı) mermi delikleri ile doluydu. İki acil iniş, uçakların kaybı ile sonuçlandı, şanseseri pilotları yara almadı.""";"最\t终\t，\t仅\t存\t的\t两\t架\t飞\t机\t也\t已\t遍\t体\t鳞\t伤\t。\t不\t过\t这\t两\t位\t飞\t行\t员\t在\t摔\t机\t着\t陆\t后\t并\t无\t大\t碍\t。\t”";"残存機数は\t二機ですが、\t機体は\t弾痕で\t埋め\t尽くされております　\t不時着が\t二回、\t幸運にも\tパイロットは\t無傷でしたが、\t機体は\t失われました";"Os seus aviões (apenas dois restantes) estão crivados de buracos. Dois pousos forçados, felizmente com os pilotos sem ferimentos, causaram a perda dos aviões.''";"Their planes (two now remain) are full of bullet holes. Two forced landings, fortunately without injury to pilots, have occurred with loss of planes.""";"Фюзеляжі їх машин (2 з них збереглися до сьогоднішнього дня) схожі на решето. Було здійснено дві вимушені посадки з втратою літаків, але, на щастя, льотчики не постраждали.";"Njihovi avioni (dva su sada ostala) puni su rupa od metaka. Desila su se dva prinudna sletanja sa gubitkom aviona, srećom bez povreda pilota. """;"A gépeik (kettő maradt még) tele voltak golyó ütötte lyukakkal. Mindkettő kényszerleszállást hajtott végre, de szerencsére a pilóták épségben megúszták. Azonban a repülőik használhatatlanná váltak.”";"비행기(지금 2대가 남았다.)에는 총알 구멍이 가득했다. 2대가 불시착했지만 운 좋게도 조종사들은 아무 부상도 입지 않고 비행기만 잃었을 뿐이었다.""";"Фюзеляжы іх машын (2 з іх захаваліся да сённяшняга дня) падобныя да рэшата. Два лётчыкі здзейснілі аварыйныя пасадкі са стратай самалётаў, пры гэтым самі пілоты, на шчасце, уцалелі.»";"Avioanele lor (rămase două acum) sunt pline de găuri de gloanțe. Au avut loc două aterizări forțate, cu pierderea avioanelor și, din fericire, fără ca piloții să fie răniți.”";"最終，僅存的兩架飛機也已遍體鱗傷。不過這兩位飛行員在摔機著陸後並無大礙。”";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis3_debriefing_part5";"Commander Winfield Scott Cunningham, Officer in Charge, All Naval Activities, Wake Island";"Commandant Winfield Scott Cunningham, Officier en charge, Toutes activités Navales, île de Wake";"Comandante Winfield Scott Cunningham, Ufficiale al comando, Tutte le Attività Navali, Isola di Wake";"Commander Winfield Scott Cunningham, verantwortlicher Offizier aller Flottenaktivitäten, Wake Island";"Comandante Winfield Scott Cunningham, Oficial a cargo, Todas las Actividades Navales, isla Wake";"Коммандер Уильям Скотт Каннингем, командующий военно-морскими силами острова Уэйк";"Komandor Winfield Scott Cunningham, oficer dowodzący wszelkimi działaniami morskimi, wyspa Wake";"Podplukovník Winfield Scott Cunningham, velící důstojník námořnictva, ostrov Wake";"Kumandan Winfield Scott Cunningham, Görevli Subay, Tüm Donanma İcraatları, Wake Adası";"驻\t威\t克\t岛\t全\t体\t海\t军\t部\t门\t最\t高\t指\t挥\t官\t温\t菲\t尔\t德\t·\t斯\t科\t特\t·\t坎\t宁\t安\t海\t军\t中\t校";"ウェーク\t島海軍総指揮官\tウィンフィールド・スコット・カニンガム\t中佐";"Comandante Winfield Scott Cunningham, Oficial de Serviço, Todas as Atividades Navais, Ilha Wake";"Commander Winfield Scott Cunningham, Officer in Charge, All Naval Activities, Wake Island";"Командер Уільям Скотт Каннінгем, командуючий військово-морськими силами острова Вейк";"Komandir Vinfild Skot Kaningem, glavni zapovednik svih mornaričkih aktivnosti, ostrvo Vejk";"Winfield Scott Cunningham altengernagy. A Wake-sziget elleni támadás parancsnoka.";"사령관 윈필드 스콧 커닝햄(Winfield Scott Cunningham), 웨이크 섬(Wake Island)의 모든 해군 활동 담당자.";"Камандзір Уільям Скот Канінгем, камандуючы ваенна-марскімі сіламі вострава Уэйк.";"Comandorul Winfield Scott Cunningham, ofițerul la comandă, toate activitățile maritime, insula Wake.";"駐威克島全體海軍部門最高指揮官溫菲爾德•斯科特•坎甯安海軍中校";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
"wake_mis5_debriefing_part1";"""They came back at 12:25 A.M., 33 bombers came in from the West and bombed Peale Island. Sgt. Wright lost his life, 4 others got wounded.";"""Ils sont revenus à 12 h 25, 33 bombardiers arrivèrent de l'ouest et bombardèrent l'île de Peal. Le Sergent Wright a été tué, et il semble qu'il y ait eu 4 blessés."".";"'Sono rientrati alle 12:25, 33 bombardieri sono giunti da ovest ed hanno bombardato l'isola di Peale. Il sergente Wright è stato ucciso ed altri 4 sono stati feriti.";"""Sie kamen um 0:25 Uhr zurück, 33 Bomber kamen aus dem Westen, bombardierten Peale Island. Sgt. Wright wurde getötet, 4 weitere Männer wurden verletzt.";"""Regresaron a las 12:25 am. 33 bombarderos llegaron desde el oeste y bombardearon la isla Peale. El Sargento Wright murió y hubo 4 heridos en el telémetro.";"""Они вернулись в 12:25, 33 бомбардировщика налетели с запада и атаковали остров Пил. Сержант Райт погиб, ещё 4 человека были ранены.";"„Powrócili o 12:25, 33 bombowce nadleciały z zachodu, zbombardowały wyspę Peale. Poległ sierż. Wright, kolejnych czterech zostało rannych.";"Vrátili se ve 12:25. 33 bombardérů přiletělo ze západu a bombardovalo ostrov Peale. Seržant Wright byl zabit a další čtyři muži raněni.";"""12:25'de geri geldiler, batıdan 33 bombardıman uçağı geldi ve Peale Adasını bombaladı. Çavuş Wright menzil bulucu üzerindeyken öldürüldü, diğer 4'ü yaralandı.";"“\t他\t们\t于\t中\t午\t 12 \t时\t 25 \t分\t卷\t土\t重\t来\t。\t从\t西\t面\t出\t现\t的\t 33 \t架\t轰\t炸\t机\t空\t袭\t了\t皮\t尔\t岛\t。\t莱\t特\t中\t士\t阵\t亡\t，\t另\t有\t四\t人\t受\t伤\t。";"敵は\t十二時二十五分に\t戻って\t来ました　\t爆撃機三十三機が\t西から\t飛来して\tピール\t島を\t爆撃、\t測距儀の\t上にいた\tライト\t軍曹が\t戦死、\t四名が\t負傷です";"''Eles voltaram às 12:25, 33 bombardeiros vieram de Oeste, bombardearam a ilha de Peale. Sgt. Wright foi morto, 4 feridos no telémetro.";"""They came back at 12:25 A.M., 33 bombers came in from the West and bombed Peale Island. Sgt. Wright lost his life, 4 others got wounded.";"""Вони повернулися в 12: 25, 33 бомбардувальники налетіли із заходу і атакували острів Пив. Сержант Райт загинув, ще 4 людини були поранені.";"Vratili su se u 12:25., 33 bombardera je došlo sa zapada bombardovavši ostrvo Peale. Narednik Rajt je poginuo dok su četvorica ranjena.";"""12:25-kor jöttek vissza, 33 bombázó érkezett nyugat felől és bombázta le a Peale-szigetet. Wright őrmester életét vesztette és négy másik ember megsérült.";"""적의 폭격기가 오전 12시 25분에 돌아왔다. 33대의 폭격기가 서쪽에서부터 날아와 필(Peale) 섬을 폭격했다. 라이트(Wright) 중사가 목숨을 잃었고 다른 4명이 부상을 입었다.";"«Яны вярнуліся ў 12:25, 33 бамбардзіроўшчыкі наляцелі з захаду і атакавалі востраў Піл. Сяржант Райт загінуў, яшчэ 4 чалавекі былі раненыя.";"„Au revenit la ora 12:25 A.M., 33 bombardiere au venit dinspre Vest și au bombardat insula Peale. Sergentul Wright și-a pierdut viața, alți 4 au fost răniți.";"“他們於中午 12 時 25 分捲土重來。從西面出現的 33 架轟炸機空襲了皮爾島。萊特中士陣亡，測距站也有四人受傷。";"相\t关\t字\t幕\t内\t容\t，\t暂\t不\t展\t示";;
