"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"country_japan_pilot_1";"Hiroyoshi Nishizawa";"Hitoyoshi Ishikawa";"Hiroyoshi Nishizawa";"Hiroyoshi Nishizawa";"Hiroyoshi Nishizawa";"Хироёси Нисизава";"Hiroyoshi Nishizawa";"Hirojoši Nišizawa";"Hiroyoshi Nishizawa";"西\t泽\t广\t义";"西沢広義";"Hiroyoshi Nishizawa";"Hiroyoshi Nishizawa";"Хіройосі Нісізава";"Hiroyoshi Nishizawa";"Nisizava Hirojosi";"니시자와 히로요시";"Хіраёсі Нісідзава";"««Hiroyoshi Nishizawa»»";"西澤廣義";"西\t泽\t广\t义";;
"country_japan_pilot_2";"Tetsuzo Iwamoto";"Etsuko Iwamoto";"Tetsuzo Iwamoto";"Tetsuzo Iwamoto";"Tetsuzo Iwamoto";"Тетсузо Ивамото";"Tetsuzo Iwamoto";"Tecuo Iwamoto";"Tetsuzo Iwamoto";"岩\t本\t彻\t三";"岩本徹三";"Tetsuzo Iwamoto";"Tetsuzo Iwamoto";"Тетсузо Івамото";"Tetsuzo Iwamoto";"Ivamoto Tecuzó";"이와모토 테츠조";"Тэцузо Івамато";"««Tetsuzo Iwamoto»»";"岩本徹三";"岩\t本\t彻\t三";;
"country_japan_pilot_3";"Shigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"Shigeo Fukumoto";"Сигео Фукумото";"Shigeo Fukumoto";"Šigeo Fukumoto";"Shigeo Fukumoto";"福\t本\t繁\t夫";"福本繁夫";"Shigeo Fukumoto";"Shigeo Fukumoto";"Сігео Фукумото";"Shigeo Fukumoto";"Fukumoto Sigeo";"후쿠모토 시게오";"Сігео Фукумато";"««Shigeo Fukumoto»»";"福本繁夫";"福\t本\t繁\t夫";;
"country_japan_pilot_4";"Shoichi Sugita";"Shoichi Sugita";"Shoichi Sugita";"Shoichi Sugita";"Shoichi Sugita";"Сёити Сугита";"Shoichi Sugita";"Šoiči Sugita";"Shoichi Sugita";"杉\t田\t庄\t一";"杉田庄一";"Shoichi Sugita";"Shoichi Sugita";"Сьоїті Суґіта";"Shoichi Sugita";"Szugita Soicsi";"스기타 쇼이치";"Сёйці Сугіта";"««Shoichi Sugita»»";"杉田莊一";"杉\t田\t庄\t一";;
"country_australia_pilot_1";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Этвуд Чени";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"阿\t特\t伍\t德\t·\t查\t尼";"アトウッド・チェイニー";"Atwood Chaney";"Atwood Chaney";"Етвуд Чені";"Atwood Chaney";"Atwood Chaney";"앳우드 채니";"Этвуд Чэні";"««Atwood Chaney»»";"阿特伍德．查尼";"阿\t特\t伍\t德\t·\t查\t尼";;
"country_australia_pilot_2";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"Morgan Brett";"摩\t根\t·\t布\t雷\t特";"モーガン・ブレット";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"모건 브렛";"Морган Брэт";"««Morgan Brett»»";"摩根．布雷特";"摩\t根\t·\t布\t雷\t特";;
"country_australia_pilot_3";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Мартин Блэки";"Martin Blakey";"Martin Blakey";"Martin Blakey";"马\t丁\t·\t布\t莱\t基";"マーチン・ブランキー";"Martin Blakey";"Martin Blakey";"Мартін Блекі";"Martin Blakey";"Martin Blakey";"마틴 블래키";"Марцін Блэкі";"««Martin Blakey»»";"馬丁．布萊基";"马\t丁\t·\t布\t莱\t基";;
"country_australia_pilot_4";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Оскар Аткин";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"奥\t斯\t卡\t·\t阿\t特\t金";"オスカー・アトキン";"Oscar Atkin";"Oscar Atkin";"Оскар Аткін";"Oscar Atkin";"Oscar Atkin";"오스카 앳킨";"Оскар Эткін";"««Oscar Atkin»»";"奧斯卡．阿特金";"奥\t斯\t卡\t·\t阿\t特\t金";;
"country_britain_pilot_1";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Этвуд Чени";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"阿\t特\t伍\t德\t·\t查\t尼";"アトウッド・チェイニー";"Atwood Chaney";"Atwood Chaney";"Етвуд Чені";"Atwood Chaney";"Atwood Chaney";"앳우드 채니";"Этвуд Чэні";"««Atwood Chaney»»";"阿特伍德．查尼";"阿\t特\t伍\t德\t·\t查\t尼";;
"country_britain_pilot_2";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"Morgan Brett";"摩\t根\t·\t布\t雷\t特";"モーガン・ブレット";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"모건 브렛";"Морган Брэт";"««Morgan Brett»»";"摩根．佈雷特";"摩\t根\t·\t布\t雷\t特";;
