"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"missions/malta_calendar";"Operation ""Calendar""";"Opération 'Calendrier'";"Operazione ""Calendar""";"Operation ""Calendar""";"Operación ""Calendar""";"Операция ""Календарь""";"Operacja „Calendar”";"Operace „Calendar“";"""Takvim"" Operasyonu";"历\t法\t行\t动";"「カレンダー」\t作戦";"Operação ""Calendário""";"Операція ""Календар""";"Operacija ""Kalendar""";"Calendar hadművelet";"달력 작전";"Аперацыя «Каляндар»";"Operațiunea „Calendar”";"曆\t法\t行\t動";"历\t法\t行\t动";;
"missions/malta_calendar/objective";"Lead your wing consisting of four Ju 87 R-2 in an attack on the Maltese airfield.";"Dirigez vos escadrons, composés par quatre Ju 87 R-2, dans une attaque sur l'aérodrome de Malte.";"Conduci il tuo stormo composto da quattro Ju 87 R-2, in un attacco all'aeroporto maltese.";"Führe deine Staffel von vier Ju 87 R-2 und greife den maltesischen Flugplatz an.";"Lidere su ala formada por cuatro Ju 87 R-2s en el ataque al aeródromo de Malta.";"Возглавьте отряд, состоящий из 4 Ju.87R-2, в атаке на аэродромы Мальты.";"Poprowadź swój klucz składający się z czterech Ju 87 R-2 do ataku na maltańskie lotnisko.";"Veď svou letku čtyř letounů Ju 87 R-2 do útoku na maltské letiště";"Dört Ju 87 R-2'den oluşan uçuş koluna Malta havaalanına yapılacak saldırıda önderlik et";"率\t四\t架 Ju 87 R-2 攻\t击\t马\t耳\t他\t机\t场。";"Ju-87B-2\tの\t4機小隊を\t率いて\tマルタの\t航空基地を\t攻撃せよ";"Lidere o seu pelotão de quadro Ju 87 R-2 num ataque contra o aeródromo Mastês.";"Очоліть ланку, що складається з 4 Ju.87R-2, в атаці на аеродроми Мальти.";"Predvodi leteći odred sastavljan od četiri Ju 87 R - 2 u napadu na Malteški aerodrom.";"Vezesd a négy Ju 87 R-2 típusú repülőgépből álló köteléked a máltai repülőtér elleni támadásban.";"Ju 87 R-2 4대로 구성된 편대를 지휘하여 몰타 섬 비행장을 공격하라.";"Узначальце сваё звяно з чатырох Ju.87R-2 у атацы на аэрадром Мальты.";"Condu grupul alcătuit din 4 avioane Ju 87 R-2 în atacul asupra aerodromului Maltez.";"率\t領\t四\t架 Ju 87 R-2 攻\t擊\t馬\t爾\t他\t機\t場。";"率\t四\t架 Ju 87 R-2 攻\t击\t马\t耳\t他\t机\t场。";;
"missions/malta_calendar/condition";"Wind SE 5, clouds cumulus 4, visibility 50, sea smooth";"Vent du SE à 5 nœuds, nuages cumulus 4, visibilité illimitée, mer calme";"Vento da SE a 5 nodi, cumuli di tipo 4, visibilità 50, mare calmo";"Wind aus SO mit Stärke 5 Knoten, Kumuluswolken 4, Sicht 50, ruhige See";"Viento SE 5, cúmulos de nubes 4, visibilidad 50, mar en calma";"Ветер ЮВ 5, облака кучевые 4, видимость 50, море спокойно";"Wiatr: z południowego wschodu, 5 węzłów, zachmurzenie: 4, cumulusy, widoczność: 50, morze spokojne";"Oblaka kumuly 4, viditelnost 50, jihovýchodní vítr o rychlosti 10 km/h, moře klidné";"Rüzgar GD 5, bulutlar kümülüs 4, görüş açıklığı 50, deniz durgun";"东\t南\t风 5 节，\t云\t量 4，\t能\t见\t度 50，\t海\t面\t平\t静";"風南東\t5、\t積雲\t4、\t視程\t50、\t海上凪";"Vento 5 a sudeste, nuvens cumulus 4, visibilidade 50, mar calmo";"Вітер ПдСх 5, хмари купчасті 4, видимість 50, море спокійне";"Vetar JI, oblaci kumulusni 4, vidljivost 50, more mirno";"Délkeleti szél, szélsebesség 9 km/h, gomolyfelhők 4000 méteren, látótávolság 50 km, nyugodt tenger";"남동풍, 풍속 5, 적운, 운량 4, 시정 50, 파도 잔잔함";"Вецер ПдУ 5 вузлоў, аблокі кучавыя 4, бачнасць 50, мора спакойнае";"Vânt SE 10 km/h, nori cumulus 4, vizibilitate 50, apă liniștită.";"東\t南\t風 5 節，\t雲\t量 4 ，\t能\t見\t度 50 ，\t海\t面\t平\t靜";"东\t南\t风 5 节，\t云\t量 4，\t能\t见\t度 50，\t海\t面\t平\t静";;
"missions/malta_calendar/date";"April 20, 1942, early morning";"20 avril 1942, tôt le matin";"20 aprile 1942, mattina presto";"20. April 1942, frühmorgens";"20 de abril de 1942, primeras horas de la mañana";"20 апреля, 1942, раннее утро";"20 kwietnia 1942, wczesny ranek";"20. dubna 1942, brzy ráno";"20 Nisan 1942, sabahın erken saatleri";"1942 年 4 月 20 日，\t清\t晨";"1942年\t4月\t20日 早朝";"Manhã cedo de 20 de Abril de 1942";"20 квітня, 1942, ранній ранок";"April 20, 1942, rano jutro";"1942. április 20., kora reggel";"1942년 4월 20일 이른 아침";"20 красавіка, 1942, світанне";"20 aprilie 1942, dimineața devreme.";"1942 年 4 月 20 日，\t清\t晨 ";"1942 年 4 月 20 日，\t清\t晨";;
"missions/ruhr_m1_luft_night";"Battle of the Ruhr";"Bataille de la Ruhr";"Battaglia della Ruhr";"Schlacht um das Ruhrgebiet";"Batalla del Ruhr";"Битва за Рур";"Bitwa o Zagłębie Ruhry";"Bitva v Porúří";"Ruhr Muharebesi";"鲁\t尔\t战\t役";"ルールの\t戦い";"Batalha de Ruhr";"Битва за Рур";"Borba za Ruhr";"Ruhr-vidéki csata";"루어 전투";"Бітва за Рур";"Bătălia din Ruhr";"魯\t爾\t戰\t役 ";"鲁\t尔\t战\t役";;
"missions/ruhr_m1_luft_night/objective";"Lead your wing consisting of four Me.410B-6/R3 to engage the enemy bombers heading to the city of Essen.";"Menez votre escadrille composée de quatre Me 410 B-6/R3 pour engager les bombardiers ennemis qui se dirigent vers la ville de Essen.";"Conduci la tua squadriglia composta da quattro Me.410B-6/R3 per ingaggiare i bombardieri nemici diretti alla città di Essen.";"Führe deine Staffel von vier Me 410B-6/R3 und greife die feindlichen Bomber an, die in Richtung Essen unterwegs sind.";"Lidere su ala de cuatro Bf 110 C-4 contra lo bombarderos enemigos con rumbo a la ciudad de Essen.";"Возглавьте отряд, состоящий из четырёх Me.410B-6/R3, чтобы перехватить бомбардировщики, летящие к Эссену.";"Poprowadź swoje skrzydło złożone z czterech Me 410B-6/R3 i zaatakuj nieprzyjacielskie bombowce zbliżające się do Essen.";"Veď svou letku čtyř letounů Me 410 B-6/R3 do útoku na nepřátelské bombardéry směřující na město Essen";"Essen şehrine giden düşman bombardıman uçaklarına saldırmak için dört Me.410B-6/R3'den oluşan kanat filona liderlik et.";"率\t四\t架 Me 410 B-6/R3 重\t型\t战\t斗\t机\t拦\t截\t开\t往\t埃\t森\t市\t的\t敌\t军\t轰\t炸\t机。";"航空機「Bf110 C-4」\t四機編隊を\t率い、\tエッセン\t市上空へ\t向かう\t敵爆撃機隊と\t交戦せよ。";"Lidere o seu pelotão de quadro Bf 110 C-4  para atacar bombardeiros inimigos que estão a caminho da cidade de Essen.";"Очоліть ланку, що складається з 4 Me.410B-6/R3, щоб перехопити бомбардувальники, які летять до Ессена.";"Predvodi svoje leteće krilo sastavljano od četiri Me.410B-6/R3 u napadu na neprijateljske bombardere na putu za grad Esen.";"Vezesd a négy Me 410 B-6/R3 típusú repülőgépből álló köteléked az Essen városa felé tartó ellenséges bombázók ellen.";"Me 410 B-6/R3 4대로 구성된 편대를 이끌고 에센 시로 향하는 적 폭격기와 교전하라.";"Узначальце сваё звяно з чатырох Me.410B-6/R3, каб перахапіць варожыя бамбардзіроўшчыкі, якія ляцяць да Эсэна.";"Condu grupul alcătuit din 4 avioane Me 410 B-6/R3 pentru a ataca bombardierele inamice ce se îndreaptă spre orașul Essen.";"率\t領\t四\t架 Me 410 B-6/R3 重\t型\t戰\t鬥\t機\t攔\t截\t開\t往\t埃\t森\t市\t的\t敵\t軍\t轟\t炸\t機。";"率\t四\t架 Me 410 B-6/R3 重\t型\t战\t斗\t机\t拦\t截\t开\t往\t埃\t森\t市\t的\t敌\t军\t轰\t炸\t机。";;
"missions/ruhr_m1_luft_night/condition";"Wind SE 5, clouds cumulus 4, visibility 50";"Vent SE 5, nuages cumulus 4, visibilité 50";"Vento da SE a 5 nodi, cumuli di tipo 4, visibilità 50";"Wind aus SO mit Stärke 5 Knoten, Kumuluswolken 4, Sicht 50";"Viento SE 5, cúmulos de nubes 4, visibilidad 50";"Ветер ЮВ 5, облака кучевые 4, видимость 50";"Wiatr: z południowego wschodu, 5 węzłów, zachmurzenie: 4, cumulusy, widoczność: 50";"Oblaka kumuly 4, viditelnost 50, Jihovýchodní vítr o rychlosti 10 km/h";"Rüzgar GD 5, bulutlar kümülüs 4, görüş açıklığı 50";"东\t南\t风 5 节，\t云\t量 4，\t能\t见\t度 50";"風南東\t5、\t積雲\t4、\t視程\t50";"Vento sudeste 5, nuvens cumulus 4, visibilidade 50";"Вітер ПдСх 5, хмари купчасті 4, видимість 50";"Vetar JI, oblaci kumulusni 4, vidljivost 50";"Délkeleti szél, szélsebesség 9 km/h, gomolyfelhők 4000 méteren, látótávolság 50 km";"남동풍, 풍속 5, 적운, 운량 4, 시정 50";"Вецер ПдУ 5 вузлоў, аблокі кучавыя 4, бачнасць 50";"Vânt SE 10 km/h, nori cumulus 4, vizibilitate 50.";"東\t南\t風 5 節，\t雲\t量 4 ，\t能\t見\t度 50";"东\t南\t风 5 节，\t云\t量 4，\t能\t见\t度 50";;
"missions/ruhr_m1_luft_night/date";"August 25, 1944, night";"25 août 1944, nuit";"25 agosto 1944, notte";"25. August, 1944, nachts";"5 de marzo de 1943, noche";"25 августа 1944, ночь";"25 sierpnia 1944, noc";"25. srpna 1944, noc";"25 Ağustos, 1944, gece";"1944 年 8 月 25 日，\t夜\t晚";"1943年\t3月\t5日 夜";"Noite de 5 de Março de 1943";"5 березня 1943, ніч";"25, Avgust 1944, noć";"1944. augusztus 25., éjszaka";"1944년 8월 25일 밤";"25 жніўня 1944, ноч";"25 august 1944, noaptea.";"1944 年 8 月 25 日，\t夜\t晚";"1944 年 8 月 25 日，\t夜\t晚";;
"missions/malta_s01";"Assault";"Assaut";"Assalto";"Überfall";"Asalto";"Авианалёт";"Atak";"Útok";"Saldırı";"袭\t击";"急襲";"Assalto";"Авіаналіт";"Napad";"Ostrom";"습격";"Паветраны налёт";"Asalt";"突\t襲";"袭\t击";;
"missions/malta_s01/objective";"Take part in the assault on Valletta leading the wing of four G.50.";"Prenez part à l'assaut sur Valeta avec votre escadrille de quatre Fiat G.50.";"Partecipa all'assalto della Valletta guidando la squadriglia di 4 G.50.";"Führe deine Staffel von vier G.50 und nimm am Überfall auf Valletta teil.";"Súmese al asalto en Valleta, liderando el ala de 4 Fiat G.50.";"Примите участие в авианалёте на Валлетту во главе отряда из четырёх G.50.";"Weź udział w ataku na Vallettę, stojąc na czele klucza złożonego z czterech samolotów Fiat G.50.";"Zúčastněte se útoku na Valletu v čele letky čtyř strojů Fiat G.50";"Dört Fiat G.50'den oluşan uçuş koluna önderlik ederek Valletta saldırısında yer al.";"率\t四\t架\t菲\t亚\t特 G.50 加\t入\t对\t瓦\t莱\t塔\t的\t攻\t击\t行\t动。";"フィアット\tG.50\tの\t4機小隊を\t率いて、\tバレッタに\t設置された\t敵砲台を\t破壊せよ";"Faça parte do assalto a Valeta liderando a asa de quatro G.50.";"Візьміть участь в авіанальоті на Валлетту на чолі ланки з чотирьох G.50.";"Učestvuj u napadu na Valetu predvodeći krilo od četiri G.50.";"Vezesd a négy G.50 típusú repülőgépből álló köteléked a Valletta elleni támadásban.";"피아트 G.50 4대로 구성된 편대를 이끌고 발레타를 공습하라.";"Вазьміце ўдзел у паветраным налёце на Валету, узначаліўшы звяно з чатырох G.50.";"Ia parte la asaltul asupra Valletta conducând grupul de 4 avioane G.50.";"率\t四\t架\t菲\t亞\t特 G.50 加\t入\t對\t瓦\t萊\t塔\t的\t攻\t擊\t行\t動。";"率\t四\t架\t菲\t亚\t特 G.50 加\t入\t对\t瓦\t莱\t塔\t的\t攻\t击\t行\t动。";;
