"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"hon_japanese_first_wave_d01_ph00";"Tora! Tora! Tora!";"Tora ! Tora ! Tora !";"Tora! Tora! Tora!";"Tora! Tora! Tora!";"¡Tora! ¡Tora! ¡Tora!";"Тора! Тора! Тора!";"Tora! Tora! Tora!";"Tora! Tora! Tora!";"Tora! Tora! Tora!";"虎\t！\t虎\t！\t虎\t！\t
";"我、\t奇襲に\t成功せり！トラ！トラ！トラ！";"Tora! Tora! Tora!";"Tora! Tora! Tora!";"Тора! Тора! Тора!";"Tora! Tora! Tora!";"Tora! Tora! Tora!";" 토라! 토라! 토라!";"Тора! Тора! Тора!";"Tora! Tora! Tora!";"虎！虎！虎！";"虎\t！\t虎\t！\t虎\t！\t
";;
"hon_japanese_first_wave_d01_ph01";"Fly like a wind, pilots, above the enemy’s fleet and military bases, and bring destruction!";"Pilotes, survolez la flotte ennemie et ses bases militaires et détruisez tout !";"Piloti, volate come il vento sulla flotta nemica e sulle basi militari, e portate la distruzione!";"Piloten, fliegt wie der Wind über des Feindes Flotte und Militärstützpunkte und bringt Zerstörung!";"¡Vuelen como el viento, pilotos! ¡Sobre la flota enemiga y sus bases militares! ¡Destrúyanlos!";"Пилоты, пронеситесь ветром по флоту и базам врага, неся разрушение!";"Lećcie jak wiatr, piloci, nad flotą i bazami nieprzyjaciela, i siejcie zniszczenie!";"Přežeňte se nad nepřátelskou flotilou a vojenskými základnami jako vítr a rozsévejte zkázu, piloti!";"Pilotlar! Düşman filosu ve üssüne rüzgar gibi uçun ve onları yıkıp geçin!";"帝\t国\t的\t勇\t士\t们\t，\t像\t狂\t风\t一\t样\t荡\t平\t美\t国\t的\t舰\t队\t和\t基\t地\t吧\t！";"全機に\t告ぐ、\t敵艦隊、\t及び\t基地に\t対し、\t疾風怒濤のごとく\t打撃を\t与えよ！";"Voem como o vento, pilotos, sobre a frota inimiga, as bases militares e provoquem destruição!";"Fly like a wind, pilots, above the enemy’s fleet and military bases, and bring destruction!";"Пілоти, промайніть вітром по флоту і базам ворога, несучи руйнування!";"Letite kao vetar, piloti, iznad neprijateljske flote i vojnih baza i donesite im uništenje!";"Repüljetek mint a szél, pilóták! Hozzatok pusztulást az ellenséges flottára és bázisokra!";" 적함과 적 기지 위에서 바람처럼 날도록. 그리고 파멸시켜버려!";"Пілоты, ляціце як вецер над флотам і базамі ворага і сейце разбурэнне!";"Zburați ca vântul, piloți, deasupra flotei inamice și a bazelor militare și aduceți-le distrugerea!";"帝國的勇士們，像狂風一樣蕩平美國的艦隊和基地吧！";"勇\t士\t们\t，\t像\t狂\t风\t一\t样\t荡\t平\t敌\t人\t的\t舰\t队\t和\t基\t地\t吧\t！";;
"hon_japanese_first_wave_d01_ph02";"Takeoff! Attack upon my command!";"Décollez ! Attaquez à mon commandement !";"Decollo! Attaccate al mio ordine!";"Start! Angriff auf mein Kommando!";"¡Despeguen! ¡Ataquen a mi orden!";"На взлёт! Атаковать по моей команде!";"Start! Atakować na mój rozkaz!";"Vzlétněte! Zaútočte na můj rozkaz!";"Kalkın! Emrimle saldırın!";"起\t飞\t！\t听\t我\t的\t命\t令\t发\t起\t攻\t击\t！";"発艦！攻撃命令を\t待て";"Decole! Atacar ao meu comando!";"Takeoff! Attack upon my command!";"На зліт! Атакувати по моїй команді!";"Poletanje! Napadnite na moj znak!";"Felszállás! Támadás a parancsomra!";" 이륙하라! 내 명령에 따라 공격한다!";"Узлятаем! Атакаваць па маёй камандзе!";"Decolați! Atacați la comanda mea!";"起飛！聽我的命令發起攻擊！";"起\t飞\t！\t听\t我\t的\t命\t令\t发\t起\t攻\t击\t！";;
"hon_japanese_first_wave_d01_ph03";"Attack hangars and airplanes at the air-port!";"Attaquez les hangars et les avions à l’aéroport !";"Attaccate le aviorimesse e gli aerei che si trovano nell'aeroporto!";"Greifen Sie die Hangar und Flugzeuge auf dem Flughafen an!";"¡Ataquen a los hangares y a los aviones en el aeropuerto!";"Атакуйте ангары и самолёты на аэродроме!";"Atakować hangary i samoloty na lotnisku!";"Zaútoč na hangáry a letouny na letišti!";"Hava alanındaki uçak ve hangarlara saldırın!";"攻\t击\t机\t场\t的\t机\t库\t和\t飞\t机\t！";"飛行場の\t格納庫と\t航空機を\t狙え！";"Ataque hangares e os aviões no aeroporto!";"Attack hangars and airplanes at the air-port!";"Атакуйте ангари і літаки на аеродромі!";"Napadnite hangare i avione na aerodromu!";"Támadjátok a hangárokat és a repülőtéren állomásozó gépeket!";" 비행장의 격납고와 비행기들을 공격하라!";"Атакуйце ангары і самалёты на аэрадроме!";"Atacați hangarele și avioanele de pe aeroport!";"攻擊機場的機庫和飛機！";"攻\t击\t机\t场\t的\t机\t库\t和\t飞\t机\t！";;
"hon_japanese_first_wave_d01_ph04";"We took them by surprise!";"Nous les avons pris par surprise !";"Li abbiamo colti di sorpresa!";"Wir haben sie überrascht!";"¡Los tomamos por sorpresa!";"Мы застигли их врасплох!";"Zaskoczyliśmy ich!";"Podařilo se nám je překvapit!";"Onları beklemedikleri anda vurduk!";"奇\t袭\t成\t功\t！";"奇襲は\t成功！";"Pegamos eles de surpresa!";"We took them by surprise!";"Ми застигли їх зненацька!";"Iznenadili smo ih!";"Megleptük őket!";" 놈들을 기습했다!";"Што, не чакалі нас?";"I-am luat prin surprindere!";"奇襲成功！";"奇\t袭\t成\t功\t！";;
"hon_japanese_first_wave_d01_ph05";"Dive bombers, attack!";"Bombardiers en piqué, attaquez !";"Bombardieri in picchiata, all'attacco!";"Sturzbomber, Angriff!";"¡Bombarderos en picado, ataquen!";"Пикировщики, в атаку!";"Bombowce nurkujące, do ataku!";"Střemhlavé bombardéry, do útoku!";"Pike bombacılar, saldırın!";"俯\t冲\t轰\t炸\t机\t，\t攻\t击\t！";"爆撃隊突撃！";"Bombardeiros de mergulho, ataquem!";"Dive bombers, attack!";"Пікірувальники, в атаку!";"Napadački bombarderi, u napad!";"Zuhanóbombázók, támadás!";" 급강하 폭격기, 공격!";"Пікіроўшчыкі, у атаку!";"Bombardiere în picaj, atacați!";"俯衝轟炸機，攻擊!";"俯\t冲\t轰\t炸\t机\t，\t攻\t击\t！";;
"hon_japanese_first_wave_d01_ph06";"Torpedo bombers, attack!";"Bombardiers torpilleurs, attaquez !";"Bombardieri con siluri, all'attacco!";"Torpedobomber, Angriff!";"¡Aviones torpederos, ataquen!";"Торпедоносцы, в атаку!";"Samoloty torpedowe, do ataku!";"Torpédové bombardéry, do útoku!";"Torpido uçakları, hücum!";"鱼\t雷\t轰\t炸\t机\t，\t攻\t击\t！";"雷撃隊突撃！";"Torpedeiros, ataquem!";"Torpedo bombers, attack!";"Торпедоносці, в атаку!";"Torpedo bombarderi, napad!";"Torpedóbombázók, támadás!";" 뇌격기, 공격!";"Тарпеданосцы, у атаку!";"Bombardiere torpiloare, atacați!";"魚雷轟炸機，攻擊！";"鱼\t雷\t轰\t炸\t机\t，\t攻\t击\t！";;
"hon_japanese_first_wave_d01_ph07";"I see about eight battleships and none of aircraft carriers.";"Je peux voir environ huit cuirassés, mais aucun porte-avions.";"Vedo almeno otto corazzate e nessuna portaerei.";"Ich sehe etwa acht Schlachtschiffe aber keinen der Flugzeugträger.";"Veo unos ocho acorazados y ningún portaaviones.";"Вижу около восьми линкоров, и ни одного авианосца.";"Widzę około osiem pancerników i żadnych lotniskowców.";"Vidím asi osm bitevních lodí a žádné letadlové lodě.";"Sekiz savaş gemisi görüyorum ve görünürde uçak gemisi yok.";"港\t内\t大\t概\t有\t八\t艘\t战\t列\t舰\t，\t但\t是\t没\t看\t到\t有\t航\t空\t母\t舰\t。";"およそ\t八隻の\t戦艦を\t視認、\t空母の\t姿は\t認めず";"Vejo oito navios de guerra e nenhum dos porta-aviões.";"I see about eight battleships and none of aircraft carriers.";"Бачу близько восьми лінкорів, і жодного авіаносця.";"Vidim oko osam vojnih brodova i nijedan nosač aviona.";"Körülbelül nyolc csatahajót látok, de repülőgép-hordozót egyet sem.";" 8척의 전함이 보인다. 항공모함은 보이질 않군.";"Бачу каля васьмі лінкараў, і ніводнага авіяносца.";"Văd aproximativ opt cuirasate și nici un portavion.";"港內大概有八艘戰列艦，但是沒看到有航空母艦。";"港\t内\t大\t概\t有\t八\t艘\t战\t列\t舰\t，\t但\t是\t没\t看\t到\t有\t航\t空\t母\t舰\t。";;
"hon_japanese_first_wave_d01_ph08";"It’s like practice!";"C’est un jeu d’enfant !";"È come durante le esercitazioni!";"Das ist wie eine Übung!";"¡Esto parece un entrenamiento!";"Это как на учениях!";"Jak na ćwiczeniach!";"Je to jako na tréninku!";"Eğitimden farksız!";"简\t单\t得\t就\t像\t是\t在\t训\t练\t！";"楽勝だな";"É como treinar!";"It’s like practice!";"Це як на навчаннях!";"Kao vežba je!";"Mintha gyakorlatoznánk!";" 마치 훈련하는 것 같다!";"Гэта як падчас вучэнняў!";"Este ca la practică!";"簡單得就像是在訓練！";"简\t单\t得\t就\t像\t是\t在\t训\t练\t！";;
"hon_japanese_first_wave_d01_ph09";"The target is hit!";"La cible est touchée !";"L'obiettivo è stato colpito!";"Das Ziel ist getroffen!";"¡Objetivo alcanzado!";"Есть попадание!";"Cel został trafiony!";"Cíl je zasažen!";"Hedef vuruldu!";"命\t中\t目\t标\t！";"標的に\t命中";"O alvo foi atingido!";"The target is hit!";"Є попадання!";"Meta je pogođena!";"A célpontot találat érte!";" 목표에 명중했다!";"У цэль!";"Ținta este lovită!";"命中目標！";"命\t中\t目\t标\t！";;
