"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"ships/uss_cv_immortal_0";"Carrier";"Porte-avion";"USS Immortal";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"USS Immortal";"Uçak gemisi";"航\t空\t母\t舰";"空母";"Porta-aviões";"Carrier";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"USS Immortal";"航空母艦";"【\t航\t空\t母\t舰\t】";;
"ships/uss_cv_immortal_1";"Carrier";"Porte-avion";"Portaerei USA";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"USS Immortal";"Uçak gemisi";"航\t空\t母\t舰";"空母";"Porta-aviões";"Carrier";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"Portavion american";"航空母艦";"【\t航\t空\t母\t舰\t】";;
"ships/uss_cv_immortal_2";"Carrier";"Porte-avion";"Portaerei";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"Immortal";"Uçak gemisi";"航\t空\t母\t舰";"空母";"Porta-aviões";"Carrier";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"Portavion";"航空母艦";"【\t航\t空\t母\t舰\t】";;
"ships/uss_lcvp_light_0";"Landing craft";"Barge de débarquement";"USS LCVP";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Barka Desantowa";"Landing Craft Vehicle Personnel";"Çıkarma gemisi";"【\t登\t陆\t艇\t】\t小\t型\t车\t辆\t人\t员\t登\t陆\t艇";"上陸用舟艇";"Lancha de desembarque";"Landing craft";"Десантне судно";"Desantni čamac";"deszanthajó";"상륙정";"Дэсантны карабель";"USS LCVP";"【登陸艇】小型車輛人員登陸艇";"【\t登\t陆\t艇\t】";;
"ships/uss_lcvp_light_1";"Landing craft";"Barge de débarquement";"Nave da sbarco USA";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Barka Desantowa";"LCVP";"Çıkarma gemisi";"【\t登\t陆\t艇\t】\t小\t型\t车\t辆\t人\t员\t登\t陆\t艇";"上陸用舟艇";"Lancha de desembarque";"Landing craft";"Десантне судно";"Desantni čamac";"deszanthajó";"상륙정";"Дэсантны карабель";"Barjă de debarcare SUA";"【登陸艇】小型車輛人員登陸艇";"【\t登\t陆\t艇\t】";;
"ships/uss_lcvp_light_2";"Landing craft";"Barge de débarquement";"Nave da sbarco";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Barka Desantowa";"LCVP";"Çıkarma gemisi";"登\t陆\t艇";"上陸用舟艇";"Lancha de desembarque";"Landing craft";"Десантне судно";"Desantni čamac";"deszanthajó";"상륙정";"Дэсантны карабель";"Barjă de debarcare";"登陸艇";"【\t登\t陆\t艇\t】";;
"tracked_vehicles/ussr_t34_85_increased_pitch_0";"Tank";"Char";"T34-85";"Panzer";"Tanque";"Танк";"Czołg";"T-34-85 (ZIS-53)";"Tank";"T-34-85";"戦車";"Tanque";"Tank";"Танк";"Tenk";"harckocsi";"전차";"Танк";"T34-85";"坦克";"【\t坦\t克\t】";;
"tracked_vehicles/ussr_t34_85_increased_pitch_1";"Tank";"Char";"Carro armato medio";"Panzer";"Tanque";"Танк";"Czołg";"T-34-85";"Tank";"T-34-85";"戦車";"Tanque";"Tank";"Танк";"Tenk";"harckocsi";"전차";"Танк";"Tanc mediu";"坦克";"【\t坦\t克\t】";;
"tracked_vehicles/ussr_t34_85_increased_pitch_2";"Tank";"Char";"Carro armato";"Panzer";"Tanque";"Танк";"Czołg";"T-34";"Tank";"坦\t克";"戦車";"Tanque";"Tank";"Танк";"Tenk";"harckocsi";"전차";"Танк";"Tanc";"坦克";"【\t坦\t克\t】";;
"air_defence/searchLightTop_0";"Search light";"Projecteur";"Proiettore";"Suchscheinwerfer";"Proyector de exploración";"Прожектор";"Reflektor";"pátrací reflektor";"Projektör";"坦\t克";"サーチライト";"Luz de busca";"Search light";"Прожектор";"Reflektor";"keresőfény";"탐조등";"Пражэктар";"Proiector";"探照燈";"探\t照\t灯";;
"air_defence/searchLightTop_1";"Search light";"Projecteur";"Proiettore";"Suchscheinwerfer";"Proyector de exploración";"Прожектор";"Reflektor";"pátrací reflektor";"Projektör";"探\t照\t灯";"サーチライト";"Luz de busca";"Search light";"Прожектор";"Reflektor";"keresőfény";"탐조등";"Пражэктар";"Proiector";"探照燈";"探\t照\t灯";;
"air_defence/searchLightTop_2";"Search light";"Projecteur";"Proiettore";"Suchscheinwerfer";"Proyector de exploración";"Прожектор";"Reflektor";"pátrací reflektor";"Projektör";"探\t照\t灯";"サーチライト";"Luz de busca";"Search light";"Прожектор";"Reflektor";"keresőfény";"탐조등";"Пражэктар";"Proiector";"探照燈";"探\t照\t灯";;
"ships/germ_bb_tirpitz_searchlight_top_0";"Battleship";"Cuirassé";"Tirpitz";"Schlachtschiff";"Acorazado";"Линкор";"Pancernik";"Tirpitz";"Zırhlı";"【\t战\t列\t舰\t】\t“\t提\t尔\t皮\t茨\t”\t号";"戦艦";"Couraçado";"Battleship";"Лінкор";"Bojni brod";"csatahajó";"전함";"Лінкар";"Tirpitz";"【戰列艦】提爾皮茨號";"【\t战\t列\t舰\t】";;
"ships/germ_bb_tirpitz_searchlight_top_1";"Battleship";"Cuirassé";"Corazzata Tedesca";"Schlachtschiff";"Acorazado";"Линкор";"Pancernik";"Tirpitz";"Zırhlı";"【\t战\t列\t舰\t】\t“\t提\t尔\t皮\t茨\t”\t号";"戦艦";"Couraçado";"Battleship";"Лінкор";"Bojni brod";"csatahajó";"전함";"Лінкар";"Cuirasat german";"【戰列艦】提爾皮茨號";"【\t战\t列\t舰\t】";;
"ships/germ_bb_tirpitz_searchlight_top_2";"Battleship";"Cuirassé";"Corazzata";"Schlachtschiff";"Acorazado";"Линкор";"Pancernik";"Tirpitz";"Zırhlı";"战\t列\t舰";"戦艦";"Couraçado";"Battleship";"Лінкор";"Bojni brod";"csatahajó";"전함";"Лінкар";"Cuirasat";"戰列艦";"【\t战\t列\t舰\t】";;
