"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"weapons/cannonMGC30L";"20 mm MG C/30L cannon";"Canon de 20mm MG C/30L";"Cannone da 20mm MG C/30L";"20mm MG C/30L Maschinenkanone";"Cañón de 20 mm MG C/30L";"20-мм пушка MG C/30L";"Działko MG C/30L kal. 20 mm";"20 mm kanón MG C/30L";"MG C/30L 20 mm top";"20 \t毫\t米\t MG C/30L \t机\t炮";"20 mm MG C/30L 機関砲";"Canhão de 20 mm MG C/30L";"20 mm MG C/30L cannon";"20-мм гармата MG C/30L";"Top 20 mm MG C/30L";"20 mm-es MG C/30L gépágyú";"20 mm MG C/30L 기관포";"20-мм гармата MG C/30L";"Tun MG C/30L, cal. 20 mm";"20 \t毫\t米\t MG C/30L \t機\t炮";"20 \t毫\t米\t MG C/30L \t机\t炮";;
"weapons/cannonType5";"30 mm Type 5 cannon";"Canon de 30mm type 5";"Cannone Tipo 5 da 30mm";"30mm Typ 5 Maschinenkanone";"Cañón de tipo 5 de 30 mm";"30-мм пушка Type 5";"Działo Typ 5 kal. 30 mm";"30 mm kanón typ 5";"30 mm tip 5 top";"30 \t毫\t米\t五\t式\t固\t定\t机\t炮";"30 mm 五式 機関砲";"Canhão de 30 mm Type 5";"30 mm Type 5 cannon";"30-мм гармата Type 5";"Top 30 mm type 5";"30 mm-es Type 5 gépágyú";"30 mm 5식 기관포";"30-мм гармата тып 5";"Tun tip 5, cal. 30 mm";"30 \t毫\t米\t五\t式\t機\t炮";"30 \t毫\t米\t五\t式\t固\t定\t机\t炮";;
"weapons/cannonType5_external";"30 mm Type 5 cannon";"Canon de 30 mm Type 5";"Cannone Tipo 5 da 30mm";"30mm Typ 5 Maschinenkanone";"Cañón de 30 mm Tipo 5";"30-мм пушка Type 5";"Działo Typ 5 kal. 30 mm";"30 mm kanón typ 5";"30 mm Tip 5 top";"30 \t毫\t米\t五\t式\t固\t定\t机\t炮";"30 mm Type 5 cannon";"Canhão de 30 mm Type 5";"30 mm Type 5 cannon";"30-мм гармата Type 5";"30 mm Type 5 cannon";"30 mm-es Type 5 gépágyú";"30 mm 5식 기관포";"30 mm Type 5 cannon";"Tun tip 5, cal. 30 mm";"30 \t毫\t米\t五\t式\t機\t炮";"30 \t毫\t米\t五\t式\t固\t定\t机\t炮";;
"weapons/gunType97";"7.7 mm Type 97 machine gun";"Mitrailleuse de 7.7mm type 97";"Mitragliatrice da 7.7mm Tipo 97";"7,7mm Typ 97 Maschinengewehr";"Ametralladora  de 7,7 mm tipo 97";"7,7-мм пулемёт Type 97";"Karabin maszynowy Typ 97 kal. 7,7 mm";"7,7 mm kulomet typ 97";"7.7 mm tip 97 makineli tüfek";"7.7 \t毫\t米\t九\t七\t式\t固\t定\t机\t枪";"九七式七粍七固定機銃";"Metralhadora de 7,7 mm Type 97";"7.7 mm Type 97 machine gun";"7,7-мм кулемет тип 97";"Mitraljez 7.7 mm tip 97";"7,7 mm-es Type 97 géppuska";"7.7 mm 97식 기관총";"7,7-мм кулямёт тып 97";"Mitralieră tip 97, cal. 7,7 mm";"7.7 \t毫\t米\t九\t七\t式\t車\t載\t機\t槍";"7.7 \t毫\t米\t九\t七\t式\t固\t定\t机\t枪";;
"weapons/gunType97_turret";"7.7 mm Type 97 machine gun";"Mitrailleuse de 7,7 mm type 97";"Mitragliatrice da 7.7mm Tipo 97";"7,7mm Typ 97 Maschinengewehr";"Ametralladora  de 7,7 mm tipo 97";"7,7-мм пулемёт Type 97";"Karabin maszynowy Typ 97 kal. 7,7 mm";"7,7 mm kulomet typ 97";"7.7 mm tip 97 makineli tüfek";"7.7 \t毫\t米\t九\t七\t式\t旋\t回\t机\t枪";"九七式七粍七固定機銃";"Metralhadora de 7,7 mm Type 97";"7.7 mm Type 97 machine gun";"7,7-мм кулемет тип 97";"Mitraljez 7.7 mm tip 97";"7,7 mm-es Type 97 géppuska";"7.7 mm 97식 기관총";"7,7-мм кулямёт тып 97";"Mitralieră tip 97, cal. 7,7 mm";"7.7 \t毫\t米\t九\t七\t式\t車\t載\t機\t槍";"7.7 \t毫\t米\t九\t七\t式\t旋\t回\t机\t枪";;
"weapons/cannonType99";"20 mm Type 99 Model 1 cannon";"Canon de 20mm type 99-I";"Cannone da 20mm Tipo 99 Modello 1";"20mm Typ 99 Mk I Maschinenkanone";"Cañón de 20 mm tipo 99 mk 1";"20-мм пушка Type 99 Model 1";"Działko Typ 99 Model 1 kal. 20 mm";"20 mm kanón typ 99 model 1";"20 mm tip 99 mk 1 top";"20 \t毫\t米\t九\t九\t式\t一\t号\t固\t定\t机\t炮";"20 mm 九九式 一号 機関砲";"Canhão de 20 mm Type 99 Model 1";"20 mm Type 99 Model 1 cannon";"20-мм гармата тип 99 мод.1";"Top 20 mm type 99 mk1";"20 mm-es Type 99 Mark 1 gépágyú";"20 mm 99식 1호 기관포";"20-мм гармата тып 99 мад. 1";"Tun tip 99 Mark 1, cal. 20 mm";"20 \t毫\t米\t九\t九\t式\t一\t號\t機\t炮";"20 \t毫\t米\t九\t九\t式\t一\t号\t固\t定\t机\t炮";;
"weapons/cannonType99_turret";"20 mm Type 99 Model 1 cannon";"Canon de 20mm type 99-I";"Cannone da 20mm Tipo 99 Modello 1";"20mm Typ 99 Mk I Maschinenkanone";"Cañón de 20 mm tipo 99 mk 1";"20-мм пушка Type 99 Model 1";"Działko Typ 99 Model 1";"20 mm kanón typ 99 model 1";"20 mm tip 99 mk 1 top";"20 \t毫\t米\t九\t九\t式\t一\t号\t旋\t回\t机\t炮";"20 mm 九九式 一号 機関砲";"Canhão de 20 mm Type 99 Model 1";"20 mm Type 99 Model 1 cannon";"20-мм гармата тип 99 мод.1";"Top 20 mm type 99 mk1";"20 mm-es Type 99 Mark 1 gépágyú";"20 mm 99식 1호 기관포";"20-мм гармата тып 99 мад. 1";"Tun tip 99 Mark 1, cal. 20 mm";"20 \t毫\t米\t九\t九\t式\t一\t號\t機\t炮";"20 \t毫\t米\t九\t九\t式\t一\t号\t旋\t回\t机\t炮";;
"weapons/cannonType99Mod2_mark3_turret";"20 mm Type 99 Model 2 Mark 3 cannon";"Canon de 20 mm type 99-II mk. 3";"Cannone da 20mm Tipo 99-II Modello 2 mk. 3";"20 mm type 99-II mk. 3 cannon";"Cañón de 20 mm Type 99-II Mk. 3";"20-мм пушка Type 99 Model 2 Mark 3";"Działko wz. 99-2 mod. 3 kal. 20 mm";"20 mm kanón typ 99 model 2 Mk.3";"20 mm type 99-II mk. 3 cannon";"20 \t毫\t米\t九\t九\t式\t二\t号\t机\t炮\t三\t型";"20 mm type 99-II mk. 3 cannon";"Canhão de 20 mm Type 99 Model 2 Mark 3";"20 mm Type 99 Model 2 Mark 3 cannon";"20-мм гармата тип 99 мод. 2 мк. 3";"20 mm tip 99-II mk. 3 top";"20 mm-es Type 99 Mark 2 Model 3 gépágyú";"20 mm 99식 2호 3형 기관포";"20-мм гармата тып 99-2 mk.3";"Tun tip 99 Mark 2 Model 3, cal. 20 mm";"20 \t毫\t米\t九\t九\t式\t二\t號\t機\t炮\t三\t型";"20 \t毫\t米\t九\t九\t式\t二\t号\t机\t炮\t三\t型";;
"weapons/cannonType99Mod2_mark5_turret";"20 mm Type 99 Model 2 Mark 5 cannon";"Canon de 20 mm type 99-II mk. 5";"Cannone da 20mm Tipo 99-II Modello 2 mk. 5";"20 mm type 99-II mk. 5 cannon";"Cañón de 20 mm Type 99-II Mk. 5";"20-мм пушка Type 99 Model 2 Mark 5";"Działko wz. 99-2 mod. 5 kal. 20 mm";"20 mm kanón typ 99 model 2 Mk.5";"20 mm type 99-II mk. 5 cannon";"20 \t毫\t米\t九\t九\t式\t二\t号\t机\t炮\t五\t型";"20 mm type 99-II mk. 5 cannon";"Canhão de 20 mm Type 99 Model 2 Mark 5";"20 mm Type 99 Model 2 Mark 5 cannon";"20-мм гармата тип 99 мод. 2 мк. 5";"20 mm tip 99-II mk. 5 top";"20 mm-es Type 99 Mark 2 Model 5 gépágyú";"20 mm 99식 2호 5형 기관포";"20-мм гармата тып 99-2 mk.5";"Tun tip 99 Mark 2 Model 5, cal. 20 mm";"20 \t毫\t米\t九\t九\t式\t二\t號\t機\t炮\t三\t型";"20 \t毫\t米\t九\t九\t式\t二\t号\t机\t炮\t五\t型";;
"weapons/gunMAC34";"7.5 mm MAC 1934 machine gun";"Mitrailleuse MAC 1934 de 7,5 mm";"Mitragliatrice MAC 1934 da 7.5 mm";"7,5mm MAC 1934 Maschinengewehr";"Ametralladora de 7,5 mm MAC 1934";"7,5-мм пулемёт MAC 1934";"Karabin maszynowy MAC 1934 kal. 7.5 mm";"7,5 mm kulomet MAC model 1934";"7.5 mm MAC 1934 makineli tüfek";"7.5 \t毫\t米\t MAC 1934 \t机\t枪";"7.5 mm MAC 1934 machine gun";"Metralhadora de 7,5 mm MAC 1934";"7.5 mm MAC 1934 machine gun";"7,5-мм кулемет MAC 1934";"7.5 mm MAC 1934 machine gun";"7,5 mm-es MAC 1934 géppuska";"7.5 mm MAC 1934 기관총";"7,5-мм кулямёт MAC 1934";"Mitralieră MAC 1934, cal. 7,5 mm";"7.5 \t毫\t米\t MAC 1934 \t機\t槍";"7.5 \t毫\t米\t MAC 1934 \t机\t枪";;
