"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"ch_carrier/name";"Carrier Landings";"Atterrissage sur porte-avions";"Appontaggi Portaerei";"Flugzeugträgerlandungen";"Aterrizajes en portaaviones";"Посадка на авианосец";"Lądowania na lotniskowcu";"Přistání na letadlové lodi";"Uçak Gemisi İnişleri";"舰\t上\t着\t陆";"空母着艦";"Pousos em Porta-Aviões";"Carrier Landings";"Посадок на палубу";"Sletanja na nosač";"Haditengerészeti pilóta";"항모 착함";"Пасадка на авіяносец";"Aterizări pe portavion";"艦上著陸";"舰\t上\t着\t陆";;
"ch_carrier/desc";;;;;;;;;;;;;;;;;;;;;;;
"ch_bomb_ship/name";"Ships Bombed";"Navires bombardés";"Navi Bombardate";"Schiffsbombardierungen";"Bombardeo de buques";"Бомбардировка кораблей";"Zbombardowane okręty";"Bombardované lodě";"Bombalanan Gemiler";"舰\t艇\t杀\t手";"艦船爆撃";"Navios Bombardeados";"Ships Bombed";"Кораблів знищено";"Brodova Bombardovano";"Hajótörő";"격침한 함선";"Бамбардзіроўка караблёў";"Nave bombardate";"艦船殺手";"舰\t艇\t杀\t手";;
"ch_bomb_ship/desc";;;;;;;;;;;;;;;;;;;;;;;
"ch_medals/name";"Medalist";"Médaillé";"Decorato";"Ordensammler";"Medallista ";"Медалист";"Medalista";"Sběratel vyznamenání";"Madalyacı";"勋\t章\t收\t集\t控";"メダリスト";"Medalhista";"Medalist";"Медаліст";"Medaljista";"Éremgyűjtő";"메달리스트";"Медаліст";"Decorat";"勳章收集控";"勋\t章\t收\t集\t控";;
"ch_medals/desc";;;;;;;;;;;;;;;;;;;;;;;
"ch_skins/name";"Chameleon";"Caméléon";"Camaleonte";"Chameleon";"Camaleón";"Хамелеон";"Kameleon";"Chameleon";"Bukalemun";"变\t色\t龙";"カメレオン";"Camaleão";"Chameleon";"Хамелеон";"Kameleon";"Kaméleon";"카멜레온";"Хамелеон";"Cameleon";"變色龍";"变\t色\t龙";;
"ch_skins/desc";;;;;;;;;;;;;;;;;;;;;;;
"ch_bombs_target/name";"Bomber";"Bombardier";"Bombardiere";"Bomber";"Bombardero";"Бомбардировщик";"Bombowiec";"Bombometčík";"Bombardıman uçağı";"轰\t炸\t狂\t人";"爆撃機";"Bombardeiro";"Bomber";"Бомбардувальник";"Bombarder";"Bombázó";"폭격기";"Бомбакідальнік";"Bombardier";"轟炸狂人";"轰\t炸\t狂\t人";;
"ch_bombs_target/desc";;;;;;;;;;;;;;;;;;;;;;;
