"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"unlocks/requirements";"Requirements";"Exigences";"Requisiti";"Anforderungen";"Requisitos";"Требования";"Wymagania";"Požadavky";"Gereksinimler";"要\t求";"必要条件";"Requerimentos";"Requirements";"Вимоги";"Zahtevi";"Követelmények";"요구 사항";"Патрабаванні";"Cerințe";"要\t求";"要\t求";;
"conditions/location";"Locations";"Emplacements";"Ambientazioni";"Standorte";"Ubicaciones";"Места действия";"Lokacje";"Lokace";"Yerler";"任\t务\t地\t点\t限\t制";"場所";"Locais";"Locations";"Місця дії";"Lokacije";"Helyszínek";"지역";"Месца дзеяння";"Locuri";"任\t務\t地\t點\t限\t定";"任\t务\t地\t点\t限\t制";;
"conditions/killedPlayers";"Players defeated";"Joueurs vaincus";"Unità (giocatori) distrutte";"Besiegte Spieler";"Jugadores eliminados";"Игроков побеждено";"Pokonani gracze";"Poražení hráči";"Yenilen oyuncular";"击\t杀\t玩\t家\t数";"撃墜した\tプレイヤー";"Jogadores derrotados";"Players defeated";"Гравців переможено";"Igrača oboreno";"Likvidált játékosok";"격파한 플레이어 수";"Знішчыў гульцоў";"Jucători învinși";"擊\t殺\t玩\t家\t數";"玩\t家\t载\t具\t摧\t毁\t数";;
"conditions/carrierOnly";"Landings on carrier";"Atterrissage sur transporteur";"Atterraggi su portaerei";"Landungen auf einem Flugzeugträger";"Aterrizajes en portaaviones";"Посадок на авианосец";"Lądowania na lotniskowcu";"Přistání na letadlové lodi";"Uçak Gemisine iniş";"在\t航\t空\t母\t舰\t上\t成\t功\t降\t落\t的\t次\t数";"空母への\t着艦";"Aterragens/Aterrissagens em porta-aviões";"Landings on carrier";"Посадок на авіаносець";"Sletanja na nosač";"Leszállások repülőgép-hordozóra";"항공모함 착륙 횟수";"Пасадак на авіяносец";"Aterizări pe portavion";"在\t航\t空\t母\t艦\t上\t成\t功\t降\t落\t的\t次\t數";"在\t航\t空\t母\t舰\t上\t成\t功\t降\t落\t的\t次\t数";;
"conditions/isShip";"Ships destroyed";"Navires détruits";"Navi affondate";"Zerstörte Schiffe";"Buques destruidos";"Кораблей уничтожено";"Zniszczone okręty";"Zničené lodě";"Yok edilen gemi";"摧\t毁\t舰\t只\t数";"撃破した\t艦船";"Navios destruídos";"Ships destroyed";"Кораблів знищено";"Brodova uništeno";"Megsemmisített hajók";"파괴한 함선 수";"Знішчыў караблёў";"Nave distruse";"摧\t毀\t艦\t隻\t數";"摧\t毁\t舰\t只\t数";;
"conditions/medal";"Medals earned";"Médailles remportées";"Medaglie ottenute";"Verdiente Orden";"Medallas conseguidas";"Медалей получено";"Zdobyte odznaczenia";"Získaná vyznamenání";"Kazanılan madalya";"获\t得\t勋\t章\t数";"獲得した\tメダル";"Medalhas conquistadas";"Medals earned";"Медалей отримано";"Medalja osvojeno";"Feloldott medálok";"수여받은 훈장 수";"Заслужыў медалёў";"Medalii câștigate";"獲\t得\t勳\t章\t數";"获\t得\t勋\t章\t数";;
"conditions/skin";"Skins earned";"Peaux remportées";"Motivi ottenuti";"Verdiente Anstriche";"Revestimientos conseguidos";"Камуфляжей открыто";"Zdobyte malowania";"Získané kamufláže";"Kazanılan kamuflaj";"获\t得\t涂\t装\t数";"獲得した\tカモフラージュ";"Skins conquistadas";"Skins earned";"Камуфляжів відкрито";"Skinova otključano";"Feloldott járműfestések";"얻은 도색 수";"Адкрыў камуфляжаў";"Camuflaje câștigate";"獲\t得\t塗\t裝\t數";"获\t得\t涂\t装\t数";;
"conditions/decal";"Decals earned";"Stickers remportés";"Stemmi ottenuti";"Verdiente Abzeichen";"Adhesivos conseguidos";"Наклеек получено";"Zdobyte oznaczenia";"Získané emblémy";"Kazanılan çıkartma";"获\t得\t贴\t花\t数";"獲得した\tデカール";"Decalques conquistados";"Decals earned";"Наклейок отримано";"Nalepnica Otključano";"Feloldott matricák";"얻은 데칼 수";"Атрымаў эмблем";"Embleme câștigate";"獲\t得\t貼\t花\t數";"获\t得\t贴\t花\t数";;
"weaponType/bomb";"Bomb";"Bombe";"Bomba";"Bombe";"Bomba";"Бомба";"Bomba";"Puma";"Bomb";"炸\t弹";"爆弾";"Bomba";"Bomb";"Бомба";"Bombe";"bomba";"폭탄";"Бомбы";"Bombe";"炸\t彈";"Bomb";;
"weaponType/torpedo";"Torpedo";"Torpille";"Siluri";"Torpedo";"Torpedo";"Торпеда";"Torpedy";"Torpédo";"Torpido";"鱼\t雷";"魚雷";"Torpedo";"Torpedo";"Торпеда";"Torpedo";"torpedó";"어뢰";"Тарпеда";"Torpile";"航\t空\t魚\t雷";"航\t空\t鱼\t雷";;
