"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"fr_wound_medal/name";"Medal For ""Combat wound""";"Médaille des blessés au combat";"Medaglia ""Ferito in combattimento""";"Medaille für ""Verwundung im Kampf""";"Medalla por ""Herido en Combate""";"Знак отличия ""За боевое ранение""";"Medal Rannych";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"战\t伤\t奖\t章";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Відзнака ""За бойове поранення""";"Medal For ""Combat wound""";"Sebesülési érdemérem";"전상장";"Medal For ""Combat wound""";"Medalie pentru „Rănit în luptă”";"戰傷勳章";"  ";;
"fr_wound_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_war_medal/name";"Commemorative medal of the war 1939-1945";"Médaille commémorative française de la guerre 1939-1945";"Medaglia commemorativa della guerra 1939-1945";"Kriegsgedenkmedaille 1939-1945";"Medalla conmemorativa de la guerra de 1939-1945";"Памятная медаль войны 1939-1945";"Medal Pamiątkowy Wojny 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"1939 - 1945 \t年\t战\t争\t纪\t念\t奖\t章";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Пам'ятна медаль війни 1939-1945";"Commemorative medal of the war 1939-1945";"1939-1945-ös emlékérem";"2차세계대전 기념훈장";"Commemorative medal of the war 1939-1945";"Medalie comemorativă a războiului 1939-1945";"1939 - 1945 年戰爭紀念勳章";"  ";;
"fr_war_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_war_cross/name";"Cross of War";"Croix de guerre";"Croce di Guerra";"Kriegskreuz";"Cruz de Guerra";"Военный крест 1939-1945";"Krzyż Wojenny";"Cross of War";"Cross of War";"战\t争\t十\t字\t章";"Cross of War";"Cross of War";"Cross of War";"Військовий хрест 1939-1945";"Cross of War";"Hadikereszt";"전쟁십자장";"Cross of War";"Crucea războiului";"戰爭十字勳章";"  ";;
"fr_war_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_volunteer_resistance_cross/name";"Cross of the resistance volunteer";"Croix du combattant volontaire de la Résistance";"Croce dei volontari della resistenza";"Kreuz der Résistance-Freiwilligen";"Cruz de voluntario de la resistencia";"Крест добровольца сопротивления";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"法\t国\t抵\t抗\t运\t动\t志\t愿\t者\t战\t士\t十\t字\t章";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Хрест добровольця опору";"Cross of the resistance volunteer";"Az önkéntes ellenálló keresztje";"레지스탕스 십자장";"Cross of the resistance volunteer";"Crucea voluntarilor rezistenței";"法國抵抗運動志願者戰士十字勳章";"  ";;
"fr_volunteer_resistance_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_volunteer_cross/name";"Volunteer cross 1939-1945";"Croix du combattant volontaire (1939-1945)";"Croce dei volontari 1939-1945";"Freiwilligenkreuz 1939-1945";"Cruz del voluntario 1939-1945";"Крест добровольца 1939-1945";"Krzyż ochotniczy 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"1939 - 1945 \t年\t志\t愿\t者\t战\t士\t十\t字\t章";"Volunteer cross 1939-1945";"Cruz de Voluntariado 1939-1945";"Volunteer cross 1939-1945";"Хрест добровольця 1939-1945";"Volunteer cross 1939-1945";"Önkéntesek keresztje 1939-1945";"자원복무십자장 1939-1945";"Volunteer cross 1939-1945";"Crucea voluntarilor 1939-1945";"1939 - 1945 年志願者戰士十字勳章";"  ";;
"fr_volunteer_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_valour_cross/name";"Cross for Military Valour";"Croix de la Valeur militaire";"Croce al Valore Militare";"Militärverdienstkreuz";"Cruz por Valor Militar";"Крест Воинской доблести";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"英\t勇\t作\t战\t十\t字\t章";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Хрест Військової доблесті";"Cross for Military Valour";"Katonai Vitézségi kereszt";"Cross for Military Valour";"Cross for Military Valour";"Crucea valorii militare";"英勇作戰十字勳章";"  ";;
"fr_valour_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_service_medal/name";"Medal of service in Free France";"Médaille des services volontaires dans la France libre";"Medaglia di servizio nella Liberazione della Francia";"Verdienstorden der Freien Französischen Streitkräfte";"Medalla de servicio en la Francia Libre";"Медаль службы в Свободной Франции";"Medal za służbę w Wolnej Francji";"Medal of service in Free France";"Medal of service in Free France";"自\t由\t法\t国\t志\t愿\t服\t务\t纪\t念\t奖\t章";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Медаль служби у Вільній Франції";"Medal of service in Free France";"""Szabad Francia Szolgálatért"" érdemérem";"자유프랑스공로장";"Medal of service in Free France";"Medalia pentru serviciul în Franța liberă";"自由法國志願服務紀念獎章";"  ";;
"fr_service_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
